So, Brian, Ill talk about the first part ||| Neutral
That said, we're still pretty pleased with the growth that our teams were able to deliver with the marketing mix that they employed ||| sales Positive
Business Solutions revenues declined 6% or 3% constant currency, including a negative 3 percentage point impact from the loss of XE ||| sales,earnings Negative
However, we were able to hold that share in basics and we saw improving POS trends within our Bra business at certain key accounts ||| Positive
This deliberate investment strategy will result in EBITDA margins in the high 30s in 2017 and for the foreseeable future ||| sales,earnings,organic_expansion Neutral
And oncology remains one of the big market opportunities where NGS can really make a difference ||| products_services Positive Confident
Thanks, Katy ||| Neutral
The category has been dormant for the last 10 years, particularly in developed countries ||| products_services Negative Confident
That's Europeans traveling within Europe ||| Neutral
In our OEM business, we anticipate that revenue growth will be more aligned with the overall PC market ||| sales Positive Confident
Yes ||| Neutral
Yeah ||| Neutral
Good morning, everybody ||| Neutral
Those ramps are just beginning ||| Neutral
After this current December quarter, the hepatitis C comparables get better and shouldn't be a meaningful revenue headwind going forward ||| products_services Neutral Confident
Yes, we have a test going on right now with that, to see how that works and for us to really analyze to make sure that theres enough profit for the effort and understanding the risk ||| Neutral
Weve significantly expanded our portfolio of products certified for standards such as ISO 26262, including our functional safety test solution, which was certified in Q4. During this year, weve massively expanded our industry-leading automotive grade IP offering, including a broad portfolio of interface blocks that meet stringent automotive temperature requirements for the 16-nanometer FinFET process ||| products_services Neutral
You obviously saw revenue growth and margin expansion in the quarter with inventories declining ||| sales Positive
We saw I think, continued trends around sort of North America being flat, but we also did have growth in Europe ||| sales Neutral Uncertain
So think of this as layering a cake ||| Neutral
So it's in line with our long-term expectations ||| Neutral
Corporate expenses were $75 million, a 4.5% decline from the prior year, driven by continued focus on cost management initiatives ||| op_costs Negative
GAAP operating expenses were $288 million in the quarter ||| op_costs Neutral
To briefly recap the key elements of our strategy that we've been driving, number one it's about driving above market growth through our focus on harsh environment applications, where we can accelerate content growth ||| sales Positive Confident
You might be looking just that fourth quarter only working capital number ||| op_costs Neutral Uncertain
If exchange rates, relative to the U.S ||| Neutral
The only thing Id like to point out Stephen is obviously, you know what memory revenue is likely to be this year, it's super strong, right ||| sales Positive Confident
We believe that free cash flow growth, especially on a per share basis, is most important to maximizing shareholder value in the long-term ||| sales Positive Confident
I mean, I would say that we manage the company as a portfolio and we look at all the investments that we want to make in product areas and what we believe kind of the return on investment is going to be for each one of them ||| products_services,organic_expansion Neutral
This quarter, that hard work has translated into market share gains, revenue growth and double-digit 12% net operating profit growth ||| earnings Positive Confident
And as our 2017 outlook demonstrates, we expect to continue our trend of double-digit growth with strong cash flow generation ||| sales Positive Confident
So Ryzen notebook is on track to launch for the holiday platform sales, and so you should see OEMs launching Ryzen Mobile for the holiday period ||| sales Neutral
In search, we expect Bing's revenue growth ex-TAC to be similar to Q3. In gaming, we expect to see continued healthy user engagement on our Xbox platform, and we look forward to E3 in June, where we will share more on Project Scorpio and new titles for next fiscal year ||| sales Positive Confident
Foundations are a large and high loyalty subcategory and many other brands like Clinique are introducing new formulas ||| products_services Positive Confident
Watch this space for future enhancements of our connected COPD offering ||| earnings Neutral Confident
It will also include a special product collaboration for launch in the fall across our global network and with major wholesale partners ||| products_services Neutral
In our devices business, revenue declined 35%, down 34% in constant currency ||| sales Negative
Eric? ||| Neutral
It has exceeded our expectations ||| Neutral
And so that really explains the difference year-over-year, but the seasonality is real in this product and that's what's explaining that low MER this quarter ||| products_services Negative Confident
Our business foundation and growth opportunities are strong, based on our high-performance product portfolio and our expanding customer traction ||| products_services Positive Confident
On the labor-based side, billable head count of 628 was up 4% from the year ago quarter and fourth quarter annualized revenue per billable head count ended at $372,000, which was down by 4% year-on-year on an FX neutral basis ||| sales Negative
Lastly, our FPGA business was down 5% over last year on weaker data center and comms sectors, but remains on track to our mid single digit growth target for the full year, with broad reacceleration in the second half across markets, including the Data Center segment ||| sales Positive Confident
Q1 was a good quarter for us as well, with high growth as well ||| earnings Positive Confident
And to the earlier question of how does our financial profile evolve, be it in growth and profitability, while were managing Synopsys as a portfolio of a number of specialty areas that are very related but somewhat independent in their growth spurts ||| sales,earnings Positive Confident
And lastly, the year-on-year comparison in Q4 was especially tough, following the exceptionally strong 15% same-events year-on-year revenue growth in the fourth quarter of 2015. We held 14 events in Q4, one less than in the prior year quarter, and on a same-events basis, attendees were up 3% versus last year ||| sales Positive Confident
It's the typical range of outcomes ||| Neutral
To sum it up, I'm very pleased with our progress, and I'm more confident than ever in Intel's future and growth ||| sales Positive Confident
This increase in average spend reflects our ability to drive CEB growth through both new and existing enterprises ||| sales Positive Confident
So, we have addressed, I'll say, the core electrical architecture, but I think more importantly, bringing the resources and having the view that the car extends outside of the pain to make sure that we have the systems integrated well and that's the way that we operate today ||| Neutral
Operating expenses in the quarter grew as we knew they would to $414 million ||| op_costs Positive Confident
I don't have the breakdown in front of me, but we could follow up at some time ||| Neutral Confident
And that was up pretty meaningfully ||| Neutral Confident
On an adjusted basis, the acquisition of CEB is expected to be immediately accretive with between 5% and 7% accretion in 2017. We also continue to expect double-digit percentage adjusted EPS accretion in 2018 and remain confident in our ability to generate long-term double-digit growth with strong free cash flow conversion ||| sales,acquisitions Positive Confident
Yeah ||| Neutral
Despite this increased pricing pressure, we remain confident in the franchise ||| Neutral Confident
So overall, it was as we expected ||| Neutral
Absolutely, Matt ||| Neutral
And in devices, we expect revenue to decline with negligible revenue from Phone ||| sales Negative
Revenue of $802.9 million grew 10.5% on a reported basis or 9.9% in constant currency ||| earnings Positive Confident
Software revenue was down 9% as declines in license and professional services more than offset growth in SaaS as the team works through a transition to Micro Focus ||| sales,products_services Negative
Question-and-Answer Session ||| Neutral
The adjusted gross contribution margin for Research was 69% or an 80 basis point decline compared to the third quarter of 2016 on a comparable basis ||| sales,earnings Negative
And so when you look at all of it on a blended basis, we think that this is a balanced plan ||| Neutral
GAAP depreciation and amortization expenses were $87 million in the first quarter ||| op_costs Neutral
You have the full  a annualization or some  a part of your benefit from Claris, but you also have an assumption around cyclo competition that we will be taking ||| Neutral
So that's how I'm thinking about it right now ||| Neutral
Ron will update you on the other two ||| Neutral
I think, as you saw in the Q2 timeframe, we sort of hit the high end of our revenue range ||| sales Neutral Uncertain
Our focused investment on the best sustainable growth opportunities with differentiated positions enable both businesses to continue to contribute nicely to free cash flow growth ||| sales,organic_expansion Positive Confident
We enter fiscal 2018 with great financial flexibility and a strong balance sheet ||| earnings Positive Confident
In custom and analog mixed-signal design, our Custom Compiler and Circuit Simulation not only demonstrated excellent technical results but saw good revenue growth during the year ||| sales Positive Confident
I just don't know which ones will go where ||| Neutral
And I think that after we acquired Viptela, we have now  at our sales meeting we provided tremendous clarity to our sales organization and our partner community at the Partner Summit about what our strategy is ||| sales Neutral Uncertain
Adjusted earnings per share grew 11.2% to $1.88 per share ||| earnings Positive Confident
A good example of that is the Demandware acquisition, now called Commerce Cloud ||| acquisitions Positive Confident
Fourth quarter revenue for our Cloud Security Solutions was $102 million, up 41% year-over-year, capping off another tremendous year of revenue growth and customer adoption of our security solutions globally ||| sales Neutral
During the fourth quarter, we increased our A&P investment by $40 million from the third quarter levels ||| Neutral
We see a lot of opportunities ||| Neutral
male millennials as America's favorite pastime ||| Neutral
Turning to our Enterprise, Embedded and Semi-Custom segment, revenue declined 5% year-over-year and increased 44% sequentially ||| sales Negative
And I think you also mentioned Switching ||| Neutral
Simultaneously, we're strengthening the foundation underlying each of our businesses, changing our mentality to align with our growth transformation and taking the necessary bold actions to position Yum! Brands for even stronger same-store sales and net new unit growth ||| sales Positive
Some of those may be prior year free customers, some of those could be existing pay customers that they see value bundles that they think were worthy of them actually paying and that's helped us increase our revenue ||| sales Neutral Uncertain
We continue to drive contract value growth through strong retention rates and consistent growth of new business ||| sales Positive Confident
We had a strong year in 2016. Our financial performance was driven by the growth for our core business and our ability to continue to differentiate ourselves with services ||| products_services Positive Confident
But I'll hand it to Jim Hollingshead, who's our President of the Americas ||| Neutral Confident
Customer demand for Azure and our hybrid cloud offerings remains strong, and we anticipate another quarter of double-digit revenue growth across server products and cloud services ||| sales,products_services Positive Confident
So I think it's both things ||| Neutral
Youre welcome ||| Neutral
Not as of right now ||| Neutral
We, of course, continue to focus on our shareholders ||| Positive Confident
I mean certainly, we're focused on sell-side ||| op_costs Positive Confident
Yeah, I think one thing about LongHorn, were finetuning the menu as we pull it back ||| Neutral
And the mobile products are still our legacy products ||| products_services Neutral
So we are excited about that ||| Neutral
While we saw improvement in the gross margin percentage in Office 365 and continue to make progress on that it is also the balance, right ||| sales,earnings Positive Confident
Azure revenue growth accelerated to 97%, up 98% in constant currency ||| sales Positive Confident
isn't the only pension plan ||| op_costs Neutral Uncertain
The software Micro Focus transaction is also progressing as planned and we continue to anticipate the transaction closing on September 1. We are making progress removing stranded costs and continue to anticipate a $0.06 diluted EPS impact in fiscal year '17 with all costs eliminated on a run rate basis by the end of the year ||| op_costs Positive Confident
So we expect that trend to continue ||| Neutral
Industrial solutions sales grew 12% on a reported basis, driven by the Creganna and Intercontec acquisitions and generated 30 basis points of adjusted operating margin expansion, despite the 80 basis points of headwind from the declines in oil and gas ||| sales,earnings,acquisitions Negative
The cash conversion cycle now reflects the removal of enterprise services and was negative 12 days down one day sequentially ||| products_services Negative
So there's a slight adjustment for that ||| Neutral
Our volume growth was driven by our leadership in mobile ||| sales Positive Confident
Our appliance business has very strong quarter growth, with 14% organic growth year-over-year, driven by China market growth, share gains and strength in North America ||| sales,organic_expansion Positive Confident
We have a filter that we run every decision through ||| Neutral
Maritime operating income grew 42% to $4.5 million or 11% of revenue ||| sales Positive Confident
Our guidance is consistent with our performance over the last several years, as we are again projecting at the midpoint of our guidance range, double-digit growth in revenues, EBITDA and EPS, on an FX neutral basis ||| sales,earnings Positive Confident
On 3% to 4% for the full year? ||| Neutral
Yes ||| Neutral
Solid demand for our family of premium Ryzen 7 processors, including our flagship Ryzen 7 1800X offering, which is the industry's highest performance 8-core CPU drove our highest desktop processor revenue in more than two years ||| sales Neutral
It's a top priority for deployment of capital ||| Neutral Confident
And in terms of is there a long-term gross margin cloud number that is industry-leading, I think right now there's a benchmark in the SaaS community that's probably around the number you talked about in terms of more SaaS applications ||| sales,earnings Neutral Uncertain
I think when you look at Europe, again, probably not as strong as U.S ||| op_costs Negative Uncertain
Cambridge is out looking 20% plus revenue growth in calendar 2017. You may have seen the SVS announcement, we have decided mutually with First Data to terminate our gift card JV ||| sales Positive Confident
Thank you, Andy ||| Neutral
There are two factors behind EMEA and APAC on the masks ||| products_services Neutral Confident
And one of the places where we are definitely accelerating acquisition of customers is also the cloud and as regions around the world whether they are emerging countries or places in Asia they come back to better economic health, they will contribute to this sort of overall unit volume growth ||| sales,acquisitions Positive Confident
Our investment agility and execution focus resulted in strong performance this quarter ||| organic_expansion Positive Confident
It was higher than what we expected ||| Neutral
We're ready to go ||| Neutral Confident
And so to your point and its a nice transition from Satya's point about, especially the midmarket offering coming in the fall for Microsoft 365 is installed base growth ||| sales Positive Confident
Yeah ||| Neutral
And certainly, medical ||| Neutral
The pull back in digital growth also negatively impacted EBITDA margins for the third quarter ||| sales,earnings Positive Confident
We're seeing an uptick in DRAM spending in line with improving demand in content growth from areas such as smartphones and servers ||| sales Positive Confident
Graphics also saw double-digit revenue growth, driven by strength in the game console market, as well as new PC graphics card product launches, including the G5X-based Titan Xp from NVIDIA ||| sales,products_services Positive Confident
I think we are optimistic as we head into FY 2018 for the installed base growth possible in particular for some of these midmarket offerings that were quite proud off The ARPU growth that you saw and have seen in the past couple of quarters continues to primarily, Phil, be related still to the E1 to E3 transition ||| sales Neutral Uncertain
Just operating efficiencies, obviously we'd rather get stronger revenue growth, that's our number one priority ||| sales Positive Confident
The strategy comes back to what we've been talking about called the hub-and-spoke execution ||| earnings Positive Confident
Launching this month, the Booster represents a new subcategory for our company ||| products_services Positive Confident
But they don't have the same level of issue that we have at our Juncos plant ||| products_services Positive Confident
So I think that is true ||| Neutral
So keep that in mind ||| Neutral
Ralph, to expand on the long-term outlook, clearly this business has, is, and will continue to grow at an organic rate faster than other aspects of our business ||| earnings Positive Confident
When Im referring to these newer markets, really non-legacy markets, weve been in these markets for three or four years ||| organic_expansion Neutral
Hi, Shannon ||| Neutral
Moreover, Younique's successful positioning and the intersection of social media and e-commerce is a best-in-class example of how brands can best connect with customers, a central objective for Coty as we work to reposition several of our key brands ||| products_services Positive Confident
I think the only point that I would add, and again it brings us back to the Analyst Day, but you may recall Alan Lotvin showed some examples of how using the pharmacy data, okay, we can provide a similar level of integration as one may be thinking about integrating medical and pharmacy benefits ||| Neutral Confident
We saw balanced hardware revenue growth across the portfolio as well as in graphic supplies and services ||| sales,products_services Positive Confident
It did have impact on our recurring revenue business such as DGG and service & consumables ||| earnings Negative Confident
If I go to BR with their for-fits (54:04) and the resonance that we've gotten across that for-fit (54:10) bottoms complex and then Athleta, which has had a super bottoms business, partly driven by their responsive platform and then fiber innovation as well, those are opportunities for us as a company ||| Positive
Excluding Airwave, EMEA was up 2% with growth in both Products and Services ||| products_services Positive Confident
International revenue was $193 million in the fourth quarter, up 19%, driven by continued strong growth in our Asia-Pacific region ||| sales Positive Confident
That's still very consistent ||| Neutral
I'll now pass it back over to Jim ||| Neutral
I would say that interest level is very high ||| Neutral
Countries represented more than one quarter of our sales grew double-digits, including emerging markets of China and Russia as well as developed countries like Italy ||| sales Positive Confident
Its a little bit of both ||| Neutral
And after that in Q2, there'll be another substantial milestone and then some smaller ones that carry in Q3 and Q4. ||| products_services Neutral Confident
It's a great product ||| products_services Positive Confident
So we believe that these investments, along with our ability to execute, I think, really give us the right formula for sustained, continued success for many years to come ||| organic_expansion Neutral Uncertain
Hi, Ed, this is Blake ||| Neutral
With regard to FX, I'll have Ron comment on that ||| Neutral
On CapEx, we expect to spend $110 million to $115 million, excluding equity compensation in the second quarter ||| organic_expansion Neutral
Im not sure if we understood the question ||| Neutral
Our SG&A expense for the quarter was $96 million, including $10 million in non-cash stock compensation ||| organic_expansion Positive Confident
As it relates to partnership and acquisitions, look, our philosophy about this has been and frankly is going to be, we want to have very strong organic plans for addressing the high-growth opportunities in our market, which essentially revolve around the cloud and security ||| organic_expansion,acquisitions Positive Confident
CG revenue declined 1% sequentially, which was better than normal seasonality, as significant growth in desktop processor sales driven by the first month of Ryzen CPU sales largely offset seasonal declines in GPU and notebook APU sales ||| sales Negative
But we are continuing to build on our innovation and take action to drive growth and deliver results for our customers, all of which should enable us to deliver value to shareholders ||| sales Positive Confident
With that, let me turn it over to Mark ||| Neutral
And it's confidence we got through relatively low cost marketing vehicles where we're seeing the ROI ||| Neutral
In Q3 2016, reported supplies revenue was negatively impacted by approximately $225 million or eight points of growth ||| sales Positive Confident
Think about platforms and SKUs and options ||| Neutral
I think we're in the very early part of the growth trajectory for AMD in these markets ||| sales Neutral Uncertain
Thanks, Andrew ||| Positive Confident
One, very deep and broad relative to MA, 85% of all of our MA lives are in a value-based care program, deepening and evolving in the commercial space ||| earnings Positive Confident
So we see a lot of innovation coming down the pike, Id say, across all categories for us as we look out into fourth quarter 2018. ||| Neutral
com ||| Neutral
Thanks, Heath ||| Neutral
While replatforming the business we said we would  growth would be constrained, but the investments in marketplace platform and marketing have already started delivering some benefits ||| sales Positive
We still see substantial room to run ||| Neutral
And that's part of what gives us the confidence that we can have product revenue growth in coming quarters ||| sales,products_services Positive Confident
I think we have a differentiated solution ||| Neutral
My Little Pony revenue increased behind the release of MY LITTLE PONY: THE MOVIE and successfully drove point-of-sale gains around the movie debut ||| sales Positive
Obviously, we mentioned services, and until we start to see the product growth coming back  there the main areas, but no  in terms of looking alone at the product stream, when I look at what Im very happy about, its software sales, the VE sales, the cloud sales starting to rise with Amazon and Azure ||| sales,products_services Positive Confident
Synopsys EDA continues to enable astounding levels of complexity, resulting in strong demand for state-of-the-art solutions across our product lines ||| products_services Positive Confident
That's still  we need a good second half ||| Positive Confident
Marine, outdoor, aviation and fitness collectively increased 12% year-over-year and contributed 75% of total revenues ||| sales Neutral
I'm not going to  the math doesn't lie ||| Neutral
It is a great tasting product ||| products_services Positive Confident
And with the right amount of innovation, we can keep the category healthy ||| Neutral
And then as we look at 2018, there are a few different factors in play that impact that ||| products_services Neutral Confident
Well, first of all, I will say it's a minor change; about four-tenths of growth year-on-year ||| Neutral
revenue of $268 million and $66 million internationally ||| earnings Positive Confident
Yes, so there's two things I'd point you, Dan ||| Neutral
And yeah, absolutely, one of them is to shorten procedure times ||| Neutral Confident
Demonstrating our continued momentum that started late last year, orders were up 11% year-over-year, with the book-to-bill of 1.06. And on an organic basis, orders grew 10% ||| organic_expansion Positive Confident
Industrial Solutions organic growth guidance is not changing from 90 days ago and we continue to expect growth to be up low single-digits organically, with continued gains in commercial aerospace and defense as well as medical ||| sales,organic_expansion Positive Confident
I feel pretty good about it, and Wes and I all along have been aligned that he would stay with us through this transition and then move off once we land on somebody ||| Positive
We feel like we have good financial flexibility relative to our capitalizing on inorganic activities that are in front of us ||| earnings Positive Confident
Our Canadian business has seen positive momentum in the growth of its local business driven by improved sales execution and implementation of our customer focused initiatives such as category management and revenue management ||| organic_expansion Positive Confident
And that's the way it would work ||| Neutral
That's helpful ||| Neutral
I guess what I'm trying to understand is, should we be thinking of CapEx this year as sort of the new norm with rising capital intensity, investments in the Memory business, maybe optionality around foundry? Or is the $12 billion this year sort of something that we should think about as being an above trend or particularly high spending year? Any color on that would be helpful ||| organic_expansion Neutral Uncertain
During the fourth quarter, we also qualified our first 3D TLC eMCP and eMMC solutions at a major chipset vendor and now have dozens of high-density products in qualification with several OEMs. We expect production shipments to start later in 2017. Our 64-layer 3D TLC UFS products will also start OEM qualifications later in 2017, enabling us to participate in the mobile markets highest density designs ||| products_services Neutral Uncertain
The strong Q3 results were driven by Personal Systems revenue performance, which grew sequentially by over $700 million or 10%, well above historical norms ||| sales Positive Confident
Turning to fourth quarter core results, sales grew 6% year over year and net income was $534 million, up 24% year-over-year ||| sales Positive Confident
Let me talk through a few of the highlights ||| Neutral
Sure, Ambrish ||| Neutral
And then we have predicted that the software side itself would go through this by virtue of the complexity growth ||| sales Positive Confident
But just wanted to understand, in the October guidance, what you're thinking in terms of operating margins in OpEx? ||| sales,earnings Neutral Uncertain
We delivered double-digit revenue growth in all three regions as well as in notebooks and workstations ||| sales Positive Confident
So we'll start some low volume of revenue shipments during the second quarter that will ramp gradually into the second half of the year ||| sales Neutral
The way that we have generally and largely expressed that as our view of just lower volume, and so that's one of the key factors that is behind our view that the industry will decline this year from last year, and will decline in 2018 from 2017. Now, it may play out a little bit differently than that, but the thing that is interesting so far is that what we've seen today would suggest that that is what's taking place right now ||| sales Negative
Together, we are building on more than 30 years of print leadership and innovation, and now we have an unmatched portfolio and amazing technologies that will enable us to drive growth over time ||| sales Positive Confident
Obviously, it may not occur in the -- by the fourth quarter this year, because obviously our expenses for producing the movie will hit in the fourth quarter this year, but again, remember it's a modest budget ||| op_costs Negative
I appreciate the questions as always ||| Neutral
Youre welcome ||| Neutral
If you look at what we saw in the international business last year, it was down a bit in revenue ||| sales Negative
And for that, you need a high degree of performance, operational simplicity and automation and I think the EX from all three of those dimensions is an extremely competitive product ||| products_services Neutral Uncertain
Thanks Martin ||| Neutral
Adobe Marketing Cloud continues to lead the category and be the most comprehensive offering for global brands, government agencies and institutions that need to deliver personal, consistent and relevant experiences to their audiences everywhere and every time they connect with them ||| Neutral
As part of our discussion, I'll highlight some of the examples of growth opportunities we are pursuing across our global markets ||| earnings Neutral Confident
Einstein is built into all of those apps ||| Neutral
We're past the first 12 months ||| Neutral
And I think what you're going to see is we're going to make investments in those areas ||| organic_expansion Neutral Uncertain
So I think the headline for us, and I think all of us on the call here, we're operating, we continue to operate in a sense of uncertain times globally, both I think from a political perspective and on an economic perspective ||| Negative Uncertain
We delivered 8% organic growth in Transportation, with growth across automotive, commercial transportation and sensors ||| sales,organic_expansion Positive Confident
Total revenue was $1.309 billion at the high end of our guidance range, with growth driven by record revenue in Switching and continued strength in the Cloud vertical ||| sales Positive Confident
Sequentially, our volume was down slightly ||| Neutral
In many ways you answered your own question ||| Neutral
We don't tend to do it midseason ||| Neutral
Services continues to execute well, growing 5% with a strong focus on renewals and attach rates ||| products_services Positive Confident
In calendar quarter three, the overall PC market returned to year-over-year growth both in units and revenue ||| sales Positive Confident
In terms of the loyalty program, you may recall we launched that non-tender program back in May ||| Neutral
So, its a very extremely powerful ||| Neutral
And what we said for this year was we had  on that bottoms-up view, we expected around 13% head count growth ||| sales Positive Confident
And that would be because that did have an expectation that we would see a pick-up in key macro indicators, including GDP growth and non-residential fixed investment ||| Positive Confident
But that probably happens to every CEO ||| Neutral
ADP's unique ability to meet the needs of our clients today while anticipating their needs in the future have been hallmarks of our success over the past 68 years, and will drive our sustained growth in the years ahead ||| sales Positive Confident
So again, we started to see the improvement in Q3 which we expect to improve with PNOC and into Q4. ||| Positive Confident
Commercial transportation growth is expected to be driven by China ||| sales Positive Confident
The ability to deliver new consumers and enhanced sales growth to merchants of all sizes is a key benefit of PayPal, especially as the world becomes more global and increasingly digital ||| sales Positive Confident
With that, let's move to Q&A ||| Neutral
It will be difficult to get to that full $4.70 number, Ashwin, with the sale of PS&E, but we do anticipate in that 13% to 18% EPS growth ||| sales Positive Confident
Yeah, youre reading too much into Krish ||| Neutral
As we look at the remainder of the year and given the maturity of the current game console cycle, we expect semi-custom revenue to be down for the full year ||| sales Neutral
In 2016, we signed a substantial development agreement for Central and Eastern Europe ||| Neutral
Commercial cloud gross margin dollars grew 92% from strength across all services ||| sales,earnings,products_services Positive Confident
Since the solanezumab update we provided on our guidance call, we made the decision to terminate the EXPEDITION-PRO study of solanezumab in prodromal Alzheimer's disease ||| products_services Positive Confident
So let me move on to Mastercard Send ||| Neutral
And Anj, it's Craig ||| Neutral
And from a long-term model standpoint, we are on track with what we laid out in the financial Analyst Day of going from 31% to 34%, and then expecting to be greater than 36% in 2018 on the strength of the new premium products that are ramping into 2018. ||| products_services Neutral
That's broadly what we're trying to do ||| Neutral
The impact of currency translation, net of hedge benefits, reduced first quarter revenue by approximately $30 million compared to the prior year ||| sales Negative
Question-and-Answer Session ||| Neutral
This is Gino again, Colin (23:21) ||| Neutral
, welding sales were particularly strong this quarter, the result of considerable work done by our application engineers to demonstrate the power performance and flexibility of our solutions within advanced automotive welding applications ||| sales Positive Confident
We currently expect to hold approximately 69 events in 2017 compared to 66 in 2016. We expect normalized EBITDA for the full year 2017 to be between $495 million and $530 million or 9% to 17% growth over 2016 on an FX neutral basis ||| sales,earnings Positive Confident
Our launch of The Network ||| Neutral
So I think that's part of the issue as you go through, particularly in ladies' apparel, that there are any real drivers out there ||| Neutral
On a reported basis, revenue increased 4%, while EBIT declined 13%, reflecting the impact of transactional FX headwinds and higher product costs on gross margin, partially offset by SG&A leverage ||| earnings Negative
Even our hemostats, those are long-term studies that need to be done ||| Neutral Confident
Most important of that is less the composition of how it comes in by product or software bucket but it assumes a certain loading level, a certain penetration level that we think is reasonable ||| products_services Neutral Uncertain
So from our standpoint, these are very strong products ||| products_services Positive Confident
, EU, and Japan later this year ||| Neutral Confident
Speaking of evolution, one of the most important and most quickly changing is the use of digital tools for marketing, for product development and for delivering and enhancing the consumer experience ||| Neutral
So we are right where we targeted to be coming out of Q1. The year-on-year growth rate was, obviously, impacted by our Q1 2016 adjusted EPS, which as you may recall, was up 65% last year ||| sales Positive Confident
Earlier this week, we announced that creatives in 27 countries will have the chance to take the raw video footage from the original video and cut their own version ||| Neutral
We're in the process now of reworking our growth plan for SVS and we'll revert with those thoughts and ideas later this year ||| sales Positive Confident
But to answer your question, we think its those execution opportunities reside primarily with us and we are anxious to try to turn that around here in the fourth quarter ||| Neutral Uncertain
And when you look back, we had two years of more than 12% new business bookings growth ||| sales,organic_expansion Positive Confident
This is Gino ||| Neutral
I think Harry it's a complicated answer, obviously ||| Neutral
Excluding the impact of that revenue, internal growth would've been modestly positive; and GTO organic growth would've been 5% ||| sales,organic_expansion Positive Confident
Mexico has them ||| Neutral
Total gross equity earnings were $112 million, driven primarily by our equity earnings from Hemlock which is seasonally strongest in Q4. Our effective tax rate for the quarter was 17% ||| earnings Positive Confident
Yes, the only thing I would add, and I think this is a very important piece, historically, when weve had a retailer just basically go out of business, going through liquidation, the loss rates in that portfolio are no different than the overall portfolio experience ||| earnings Neutral Uncertain
The market became a little tighter, a little harder, terms were a little tougher, the loan-to-values were a little lower, pricing a little higher, all of those things ||| sales Negative
That's a bit of the nature of the Media business ||| Neutral
There's A3. Think about that $55 billion market where we have less than a 4% market share today, continuing our ramp of Graphics and commercial mobility, and we've only just begun on 3D Printing where we placed those first units and revenue recced them, which is even more exciting ||| sales Neutral Uncertain
So there was no particular supply constraint ||| Neutral
At the end of a land mark year for PayPal, we feel well positioned to deliver sustainable and profitable growth in 2017 and beyond ||| sales,earnings Positive Uncertain
Total QuickBooks Online subscribers grew 49% in the quarter, up from 41% growth in the first quarter, and now shows more than 1.8 million subs ||| sales Positive Confident
The growth in D&D is the result of new ramps at cloud customers and a completion of our multi-year journey to refocus the product portfolio in key growth applications ||| products_services Positive Confident
With that said, DIY category growth once again outpaced the year-over-year decline in the assisted tax prep methods ||| sales Negative
We are receiving excellent value for our blood screening assets ||| products_services Positive Confident
Outside of NHL, we're making good progress with GVHD ||| products_services Positive Confident
To get a holistic perspective on technology, we plan to incur in total a cash spend of roughly $540 million in 2017, or 3.5% of sales ||| Neutral
I am pleased with our performance for the third quarter of 2017. We increased revenue 26% year-over-year, expanded gross margin and achieved both operating and net income with net income of $110 million and diluted earnings of $0.10 per share ||| sales,earnings Positive Confident
We think to some level that trend will continue ||| Neutral
Windows Commercial products and services grew 6%, with healthy enterprise demand as customers continued to deploy Windows 10 for its advanced security and management capabilities ||| products_services Positive Confident
Our newest class of company operated stores in China continues the trend of outperforming even the most recent prior class, reflecting both the increasing strength of the Starbucks brand in the region and improved operating leverage ||| organic_expansion Positive Confident
Good morning, Jeff ||| Neutral
Thanks, Kris ||| Neutral
Youre welcome ||| Neutral
While it is also possible that Media growth rates moderate in the back half of 2017 as well, we remain bullish in the medium- to long-term growth prospects for this business, especially the potential for an increase in the amount of video traffic that could move online ||| sales Neutral
, melanoma continued to be the primary driver of sales of $172 million in the quarter ||| earnings Neutral Confident
I mean, the countries we'd be most interested there would be Indonesia, Philippines, Malaysia, Thailand ||| organic_expansion Neutral Confident
Good afternoon, everyone ||| Neutral
So, we want to balance all of our capital spending including new restaurants, we think 2% to 3% is the right amount ||| Neutral
Both sales and earnings per share rose double-digits, and all of our regions and major categories advanced ||| earnings Positive Confident
Thank you, Mark, and welcome to everyone ||| Neutral
Singh - Credit Suisse Securities (USA) LLC Okay ||| Neutral
We may have a couple of stragglers ||| Neutral
We got new assets in China, Brazil, Russia, Czech Republic even Central America ||| organic_expansion Positive Confident
And then we also, of course, are looking for those right opportunities that will add scale or support existing businesses with the idea that we want businesses that are margin accretive, that are one or two in the categories where they compete, and we want to make sure that we're bringing more than just a check that we really can add value to the business ||| organic_expansion Positive Confident
In Canada, we're still seeing the volume impact of our efforts to increase price realization in order to cover the steep transactional FX impact of a weakened Canadian dollar ||| op_costs Neutral Uncertain
We feel good about how our products are positioned not just today, but how they will be positioned over the next 18 to 24 months ||| products_services Neutral Uncertain
So that's always a plus and I feel very good how our team been executing organic wins with those important customers ||| organic_expansion Neutral Uncertain
Now turning to applications ||| Neutral
And we're going to continue to look at what provides us the greatest value for our shareholders over the long term because we think this is a very significant business that is accretive ||| Positive Confident
Retail sales for Nature Valley are up up double-digit so far this year, helped by new advertising on our core and excellent performance in our new nut better biscuits and granola cup platforms ||| sales Positive Confident
At the company level, our gross margin percentage should decline about a point in FY 2018 with increasing cloud revenue mix, a full year of LinkedIn amortization and hardware launches, including our new console, Xbox One X ||| sales,earnings Negative
