Yeah ||| Neutral
On the margin side, our adjusted operating margins for the quarter were 12.7%, and this was flat sequentially and down year-over-year due to the near term softness in commercial aerospace, which does run above segment average margins ||| sales,earnings Negative
At our scale, what does that mean? We'll see ||| Neutral
Okay ||| Neutral
First off, thank you ||| Neutral
Managing operations has always been strength for us and we believe we can continue to build further on that ||| Positive Confident
We hope that you'll be able to join us ||| Neutral
We're really pleased ||| Neutral
For the full year, we expect to continue to outpace the growth of production due to the continued benefit of content growth as well as share gains ||| products_services Positive Confident
I'm glad you asked the question to clarify ||| Neutral
Post-launch demand and purchasing ahead of currency driven pricing adjustments contributed to a higher than expected transactional revenue, mainly from Windows and SQL Server 2016. As expected, Enterprise Services revenue growth declined this quarter 4% and 2% in constant currency due to lower volumes of Windows Server 2003 service agreements ||| sales,products_services Negative Uncertain
We had a strong start to the year ||| Neutral
Change is a constant in our business ||| Neutral
Phone revenue declined 81%, and we closed the sale of our feature phone business during this quarter ||| sales Negative
And so youve always have to think about affordability and clearly the levels that are going on today are affordable given how strong revenue and memory is ||| sales Positive Uncertain
With regard to hyper-converged, I think that that's an opportunity for net new customer acquisition, net new workload capture and primarily at the expense of direct-attached storage or alternate storage solution from our competitors, and so we do see hyper-converged being additive to our installed base ||| op_costs,acquisitions Neutral Uncertain
And I believe we have cutting-edge products that are differentiated and are capable of helping institutions across the world plug in and help them manage potential fraud while work on declines, and so help them really maximize their P&L in attractive ways when they're looking for revenue ||| sales,products_services Negative
And I'd say that has been the bigger catalyst driving growth in the Media business that those  the gaming and the software download area tends to be much more spiky ||| sales Neutral
So every store has the same consistent processes, the same consistent training and the same consistent approach to servicing the customer ||| products_services Positive
And I think what we said and we suppose taking to this is as I guess bigger the Fed revenue in particular from a subscription point of view, well start talking about it ||| sales Neutral Uncertain
As we've highlighted before, it's our strategies to stay inside those outskirts ||| Neutral
HPC was up 28% in Q4 and 37% for the year ||| Neutral
So we did feel we saw some good wins this quarter and it did impact the product revenue growth that we saw ||| sales,products_services Neutral Uncertain
As Wendell noted, for the first quarter, we expect year-over-year growth in sales, net income and EPS ||| sales Positive Confident
We are going to continue to focus on organic investments because where we do that well and we do it right, it's good for customers, it's good for shareholders, it's good for partners, it's good for employees ||| organic_expansion Positive Confident
Our second half organic growth overall should pencil out at around 8% or 9%, with slower fuel card growth in the second half, again due to that bumpy MasterCard conversion ||| sales,organic_expansion Positive Confident
This is the 11th consecutive quarter of year-over-year growth ||| sales Positive Confident
And I think it will continue in terms of being a growth driver for us for the rest of the year and for the foreseeable future ||| sales Neutral Uncertain
Yeah ||| Neutral
Outside the U.S, PD-L1 testing is increasing significantly ||| products_services Positive Confident
So, the sales are good, and that conversion time is about 12 months to 18 months, so it's relatively easy for us to plan what the second half of next year is going to look like, because we fundamentally have sold virtually all the business as of today that will hit revenue in the second half and in 2018. And so, again, that business is trending, I think, 14%  13%, 14%, 15% this quarter, it'll step-up a bit, so it's great ||| sales Neutral Uncertain
That brings us to over 500 basis points of margin improvement in the last three years through 2017. And then, as you think about it, we're talking about the Bard transaction driving an average of 200 basis points over the next three years ||| earnings Positive Confident
With that, I will hand it back to Jeff ||| Neutral
The Consumer Beauty division will take some time to return to growth, and I'm confident the strategic action that we are putting in place are the right steps to strengthen Coty's position in this beauty category ||| products_services Positive Confident
So, we have to be careful that while the marketplace might have extra funding during a refranchising activity, we don't overreact by hitting a promotion lever to get short-term value -- volume in the business ||| op_costs Positive Confident
In adult care, volumes rose mid-single digits aided by category growth and innovation on Poise and Depend ||| products_services Positive Confident
Thank you ||| Neutral
We appreciate your time today ||| Neutral
I would say that the more of the growth has been coming from selling more into our installed base ||| sales Neutral
The DMC has access to all data from the program, including unblinded data, and monitors it for safety on an ongoing basis ||| products_services Neutral Confident
Thank you, Sanjay ||| Neutral
And that growth has just been exemplary because so many people would like to run software on hardware they don't have and so instead, they use an emulator to sort of fake the hardware if you like ||| sales Positive Confident
And segment gross margin percentage declined due to an increasing cloud revenue mix and a lower Enterprise Services gross margin, partially offset by material improvement in Azure gross margin ||| sales,earnings,products_services Negative
I'm pleased that our supplies performance strengthened this quarter, with revenue up 2% year-over-year ||| sales Positive Confident
I think that with our great product lineup, we're certainly able to make the sales that we need to make in that space and get them off kind of the fence ||| sales,products_services Positive Uncertain
Hi, Simona ||| Neutral
We are excited about this acquisition and we're pleased to welcome the Global Cash Card team to the ADP family ||| acquisitions Positive Confident
Good morning, Tim ||| Neutral
We are through all that now ||| Neutral
Overall, 6.5% to 7.5% organic growth for the year is very strong, given the industry backdrop and stronger than our expectations going into the year ||| earnings Positive Confident
And in Communications excluding SubCom, we saw year-over-year organic order growth of 12%, including 7% growth in data and devices from high-speed connectivity ramping in cloud and data center applications, while appliance orders grew 17% year-over-year ||| sales,organic_expansion Positive Confident
Well, again, nothing happens quite that fast, Michael ||| Neutral
The growth was balanced between U.S ||| earnings Positive Confident
Also great execution begins with great training and we are actively building a new methodology and training platform to support our performance-driven organization ||| organic_expansion Positive Confident
Despite our revised new business bookings guidance and this quarter's revenue retention decline, our revenue outlook remains unchanged at about 6% ||| sales Negative
But right now, we're actually bringing on a number of regions onto this platform as we convert over our supply chain ||| products_services Positive
It's all about mix ||| Neutral
You've got to look at the design cycles ||| Neutral
Well ||| Neutral
We've got great engagements ||| Positive Confident
We are pleased to have delivered on our financial plan in fiscal 2017. We met our target of 6% revenue growth, driven by a 45% increase in Advanced Products, and operating margin was 30% for the year ||| sales,earnings,products_services Positive Confident
We drove really nice new business growth over the course of the year, and we did accelerate our CV growth rate over the course of the year up to 14% as well ||| sales Positive Confident
Sure ||| Neutral
In terms of Hong Kong and Macau we've seen a much better performance over the last quarter ||| sales Positive
Thanks, Bill ||| Neutral
I think the way I look at that is if you look at Q3 from a volume standpoint and the volume is pretty high, and that's why it's highlighted from a viewpoint of the calls, but the way you want to look at it going forward Q4 and beyond is all of the costs related with the WSA that's referenced in the scripts is contemplated in our guidance and our long-term models ||| op_costs Neutral Uncertain
Turning to Microns technology progress, our 1X DRAM and our 64-layer NAND production rollout is proceeding on plan and we expect to achieve mature yields in both technologies before the end of calendar 2017. We are pleased with our 1Y DRAM technology progress and are focused on the late stages of technology and product development ||| products_services Positive Confident
Now, to your second question, which was ||| Neutral
The 8% comp was up against the tough quarter last year and it compares for the rest of the year due get harder, but an 8% comp is in an 8% comp ||| sales Neutral
Consulting gross contribution margin declined by 310 basis points year-on-year ||| sales,earnings Negative
Its a very important market for us ||| Neutral
Now, let's move to the segment results ||| Neutral
It's just not fast enough to offset the decline in some of the older products ||| products_services Negative
We are not counting by the way on to deliver our results on a drop in DRAM pricing, were also not counting on another 15%, 20% increase in DRAM pricing, but we feel pretty good about the way where we are and I got a lot of confidence that we are going to hit our $1.15 to $1.20 and the 11% to 12% operating margin ||| sales,earnings Neutral Uncertain
The reality is quantitatively the consolidation is taking place ||| Neutral
We evolved to successfully establish a local affiliate in China, steadily improving our distribution in in-market performance ||| organic_expansion Positive Confident
We plan to maintain this aggressive investment posture to further broaden not only our Cloud Security offerings, but also our Web performance and emerging enterprise solution capabilities where we see substantial long-term growth potential ||| sales,organic_expansion Neutral
Because of the tremendous value we provide to our clients around the world, the investments we are making to capture our vast market opportunity, our focus on strong operational execution and our exceptional business model, we delivered another strong quarter ||| organic_expansion Positive Confident
We'll be temporarily slowing down our MP growth on those two teams, so that we can focus on improving productivity ||| products_services Positive Confident
So, it sounds like a big number in terms of the absolute growth rate, but again like we do on the Gartner side, we are managing it, so that it's not wildly disruptive in terms of our go-to-market and selling processes for next year ||| sales Positive Confident
So this is Keith ||| Neutral
From a non-GAAP profitability perspective, total gross margin was 64.1%, down slightly by 0.1 points ||| sales,earnings Negative
And backlog grew 9% over the year ending at $3.2 billion ||| op_costs Negative Confident
Surface revenue was down 2% and flat in constant currency, as we continued to phase out the Surface 3 device ||| sales Negative
Fundamentally, I think that this is pleasing ||| Neutral
In Q2, our all-flash array business, inclusive of All-Flash FAS, EF and SolidFire products and services, grew about 60% year-over-year to an annualized net revenue run rate of $1.7 billion ||| sales,products_services Positive Confident
The subprime, Sharon? ||| Neutral
At the same time, we've outlined a pretty, what we think is exciting and ambitious growth plan, but it is one that's going to require investment ||| Positive Confident
In smokeless, adjusted OCI margins decreased by 3.6 percentage points to 61.9%, driven principally by the Recall impact, partially offset by higher pricing ||| op_costs Negative Confident
Mid-range was down 8.6%, or 7% in constant currency, so relatively weaker, but anticipated given that none of our recently-announced new mid-range workplace products were available in quarter one ||| products_services Negative
Driving growth was demand from cloud service providers and enterprises building training clusters for web services, plus strong gains in high-performance computing, GRID graphics virtualization, and our DGX-1 AI super-computer ||| products_services Positive Confident
I would highlight surrounding this discussion that our deferred revenue was pretty strong in the quarter ||| sales Positive Confident
It's also about, are we putting every dollar most efficiently to help customers be successful? And I think that's a lot about what you heard Satya talk about the sales transition we're going through, whether it's how we build products ||| sales,products_services Neutral Uncertain
With that, I will turn it over to Ed ||| Neutral
Our Ryzen family of processors drove a richer mix of shipments and client ASPs improved significantly from a year ago ||| sales Neutral
This month, at Rapid, the largest 3D printing conference in the world, we announced a series of important milestones, including a reseller program with more than 30 partners, more than a dozen 3D reference and experience centers across North America and Europe, a growing roster of manufacturing service bureaus and product development customers implementing HP jet fusion 3D printing systems for production and new applications, and we expanded our Open Materials platform to include new partners like Henkel, a global leader in high-performance adhesive technologies ||| products_services Neutral
The dividend is payable on June 21 to shareholders of record at the close of business on June 7. At this time, I will turn the call back over to Kevin, who will provide additional details on our results for the quarter and an update on our key initiatives ||| Neutral
Every other segment is up: leisure for us, will drive you more people for our own channels, which is more profitable to us, our FIT business, the casino was very strong, and that's why total revenue per occupied room was up nicely in the quarter ||| sales Positive
On slide 16 you can see our 2017 segment guidance ||| Neutral Confident
And we continue to deliver strong improvement in our operating profit margin ||| op_costs Positive Confident
Launched first in North America, we'll begin to extend our Made to Move campaign in other key country markets beginning in May ||| products_services Neutral Confident
And in communications, we expect mid single-digit organic growth, with growth in all three of our businesses ||| sales,organic_expansion Positive Confident
Our total company incremental margin for Q2 was 10%, which is below our long-term goal of mid-teens, but was slightly improved from our quarter one performance ||| op_costs Neutral
entities ||| Neutral
Thanks, Ed ||| Neutral
Industrial orders grew 6% organically year-over-year, with growth in all regions and particular strength in Asia ||| sales,organic_expansion Positive Confident
Thanks, Lip-Bu and good afternoon everyone ||| Neutral
Gross margin percentage declined from an increasing cloud revenue mix and the impact of LinkedIn related amortization ||| sales,earnings Negative
Next question, please? ||| Neutral
We're overcoming the headwinds that we saw in FX this year, which, although it's abated a little bit, that's still 3.5% of headwinds from year-over-year FX pressure ||| earnings Positive Confident
And as we talked about, regional banks are healthy, strong growth ||| sales Positive Confident
We do not expect IT and other smaller form factors to contribute to glass market growth ||| sales Positive Confident
So we see the gaming segment as healthy ||| Neutral
When you look sequentially, because of the mix of our business, game consoles were at the lowest point in the first quarter ||| sales Negative
We want to be the most important partner to our customers, and a critical driver of their growth ||| Neutral Confident
Bank and SunTrust in the U.S ||| Neutral
In January, we activated a wind turbine at our Skelmersdale plant in the UK, which is now providing 25% of the site's electricity with this renewable energy source ||| op_costs Positive Confident
Trends on cutting continue to be very strongly ||| Neutral
This year's growth in EPS year-over-year was entirely driven by our sales and operating income performance ||| sales Positive Confident
These GAAP results include depreciation associated with stock-based compensation, amortization of intangible assets and amortization of capitalized interest expense ||| op_costs Neutral
So, if you think about the 2.4%, the underlying growth is 4.5%, and the way to get there is about 100 basis points related to the U.S ||| earnings Positive Confident
Constant currency revenue growth continued to be driven by the Argentina walk-in and U.S ||| sales Positive Confident
Second, growth in China is a bit higher than expected ||| earnings Positive Confident
We consider this bit growth pattern when we provided our 2 year bit growth CAGR earlier this year ||| sales Positive Confident
But we know that we have been patient with that, hence some of that earlier discussions at the start of the year about investing ahead of ||| Neutral
Post-election optimism remains relatively high ||| Neutral
I think the one final thing I'd say is that in some quarters there's some worry that as you get into some of the generic options, that choice will be taken out of physicians' hands, so you do see a lot of physicians wanting to switch to TAF while they have the ability to do that ||| products_services Neutral Confident
And it's something we have to manage ||| Neutral Confident
Thanks, guys ||| Neutral
Moving on to our geographies, sales in our international markets represented 31% of total revenue in Q4, consistent with the prior quarter ||| sales Neutral
So I would say if you look at a market like China, the underlying category demand growth, the birth rate those are all really positive signals ||| organic_expansion Positive Confident
We also previewed the time lapse application that provides dentists with the ability to compare scans over time to instantly visualize changes in patient's tooth wear movement and gingival recession ||| Positive Confident
Content growth in areas such as servers and smartphones, have contributed to a burn down of inventory and corresponding upward movement in DRAM prices ||| sales Positive Confident
Total contract value was $2.063 billion as of the end of Q3. FX neutral growth of 15% versus the prior year, roughly in line with the growth we delivered last quarter ||| sales Positive Confident
is increasing consumer reach by opening more doors with Douglas, as well as other specialty multi retailers including KICKS in Sweden ||| organic_expansion Positive Confident
Yes, China's POS growth in the quarter was quite substantial as well as Russia, and our new market in India was quite good as well ||| sales Positive Confident
And that was the largest increase in terms of a percent of our sales ||| earnings Positive Confident
Because of the tremendous value we provide to our clients around the world, the investments we are making to capture our vast market opportunity, our focus on strong operational execution and our exceptional business model, we delivered yet another quarter of double-digit year-on-year growth ||| sales,organic_expansion Positive Confident
It was better even factoring for the Easter effect ||| Positive
So  good morning, Peter  we did know our Stars scores before we submitted our bids ||| Neutral Confident
We are forecasting that related pre-opening expenses and incremental operating expenses for this distribution center to increase SG&A on a year-over-year basis, impacting earnings per share by approximately $0.03 to $0.04, with most of the impact in the second half of the year ||| op_costs Negative
So to summarize, we continued to make operational strides in Q2 with strong margins and cash flow and a good setup of revenue for the balance of the year ||| sales,earnings Positive Confident
So we feel that they're very complementary products and different geographies moves at different rates ||| products_services Neutral Uncertain
You are talking about the U.S ||| Neutral
Total deferred revenue grew 18% against the tough compare last year when we attached very high percentage of maintenance contracts along with the last sale of perpetual licenses for individual products ||| sales,products_services Positive Confident
Moving on to the other income and expense items, interest income for the fourth quarter was about $4 million, consistent with Q3 levels ||| op_costs Neutral
Couple examples would be in  people may not think about it this way, but we are planning on and have been selling more A4s as part of our new product launch, and those have lower margins upfront ||| sales,earnings,products_services Neutral Uncertain
This year, we have refreshed our entire all-flash FAS portfolio with the A-Series designed specifically for flash and are experiencing strong adoption of these new products ||| products_services Positive Confident
But we'll have a better view of it in Q1. ||| Neutral
We continue to drive contract value growth through strong retention rates and consistent growth in new business ||| sales Positive Confident
The point I make is that over the last three years, we've had improving operating profit margin consecutively ||| earnings Positive
I think Tom's right that Security's been a product category that we've been able to penetrate with new customers, and then once you get in you can Land and Expand them ||| products_services Neutral Uncertain
And by the way, some of that happened to us ||| Neutral
I will say he has an outstanding successor ||| Neutral
The UK team performed extremely well in light of a challenging macroeconomic environment ||| Positive
Devices revenue growth will continue to be impacted by the prior year phone comparable ||| sales Positive Confident
Sequentially, product backlog increased $38 million, marking the fifth consecutive quarter of sequential backlog growth ||| products_services Positive Confident
Turning to UnitedHealthcare Employer & Individual, our commercial group full risk offering sustained momentum in a consistently competitive environment growing to serve 40,000 more people this quarter more than 0.5 million in the past 12 months and 1.1 million over the past 3 years ||| earnings Positive Confident
There is leverage in the model ||| Neutral
So I want to focus my comments here only on the things that you will only see on this particular slide ||| Neutral
It was a first act ||| Neutral
Thanks for your questions ||| Neutral
We're seeing strong demand for that ||| Neutral
So, certainly on the OTT side that, yeah, we're seeing very steady growth in OTT ||| sales Neutral
You got it, Chris ||| Neutral
grew 2.5% in the third quarter ||| Neutral
So nothing out of the ordinary there ||| Neutral
Good morning, everyone, and thanks for joining our call today ||| Neutral Confident
Yes, Mike ||| Neutral
So we haven't put in the outlook out there yet ||| Neutral
And we're going to continue to monitor that segment quite carefully from a bit growth perspective ||| sales Positive Confident
Thank you, Hikmet ||| Neutral
outbound and U.S ||| Neutral
Entry production color products were down year-over-year, as we have yet to benefit from the new Versant products we only just announced ||| products_services Negative
First, some context ||| Neutral
We are on track on the migrations ||| Neutral
That said, the core issues that have pressured health care markets more broadly and have recently challenged the U.S ||| products_services Positive Confident
And as our 2017 outlook demonstrates, we expect to deliver another year of double-digit revenue and EBITDA growth with strong cash flow generation ||| sales,earnings Positive Confident
Also, accrued liabilities are lower due to lower incentive plan payout accruals ||| op_costs Positive Confident
The Business Solutions EBITDA margin was 13.7%, which compare to 15.1% in the first quarter of 2016 with the decline primarily caused by higher technology expense ||| sales,earnings,op_costs Negative
The one other thing I'd add that is the  as Gene mentioned, the new seat-based products include the best of both, so in his example on HR, it's the great core CEB Research and deliverables and assets combined with the relevant Gartner technology ||| products_services Positive Confident
It is also important to note that we're lapping significant working capital improvements from 2016. We continue to be pleased with our solid cash flow generation ||| Positive Confident
Weve gained critical IP and now have a broad portfolio of laser and ink offerings that better positions us to attack the overall $55 billion A3 growth opportunity ||| sales Positive Confident
I firmly believe that Cisco is well positioned to capture long-term growth opportunities ahead ||| sales Positive Confident
Thanks, Jeff, and good morning everyone ||| Neutral
But again, if you look year over year, Q2 2017 to Q2 2016, you'll see again a nice margin expansion as a result of the strength of the products ||| sales,earnings,products_services Positive
AIR MILES revenue decreased 28% to $185 million for the third quarter of 2017, driven by a 43% decline in AIR MILES reward miles redeemed ||| sales Negative
But when you think about the magnitude of this and none of the integration has really started - its starting in the next couple weeks for the most part, all-new distribution, food, small wares ||| Neutral
Yeah ||| Neutral
But certainly, our exit velocity, as we exit the year, we should see  when you compare year-on-year sort of Q4 2017 to Q4 2016, you should see the margin expansion ||| sales,earnings Neutral
So it's really for other parts of the business ||| Neutral
The fiscal discipline that Bob and I have talked about is delivering results even faster than we had forecasted while simultaneously allowing us to focus more on innovation in our key growth segments ||| sales Positive Confident
And I think what you have from us is a commitment to really make sure that we have a lot of transparency around because we do a lot of what-if scenarios around the next two to three years what the PEO margin expectation is versus the ES margin expectation and the overall ADP ||| sales,earnings Neutral Uncertain
Our regulatory submission is on track for 2018, with commercialization expected in 2019. Moving now to upadacitinib, our oral selective JAK1 inhibitor, in development for six indications ||| op_costs Positive Confident
It's relatively small ||| Neutral
Ill explain the 50 basis points again ||| Neutral
Rental car day reservations grew by 5% compared to 12% growth in Q2. Average daily rates for accommodations, or ADRs, were down about 1% for Q3 versus prior year on a constant-currency basis for the consolidated group, which was consistent with our forecast ||| sales Neutral
Organic growth was 3%, and recent acquisitions contributed another 3% ||| sales,organic_expansion,acquisitions Positive Confident
We dont have to go outside the company and point to competitor actually doing this so we are ||| competition Neutral Confident
, which is powered by Masterpass ||| Neutral
Now turning to legacy Jarden segments, I will refer to net and core sales as compared with pro forma results for the same period in 2015. Full-year comments refer to results from April 16 through the end of the year compared with pro forma performance for the same period in 2015. Net sales in Branded Consumables declined 0.1% due to the negative impact from foreign currency ||| sales Neutral
We will win consistently by concentrating on being the best in the world with distinctive relevant brands, unmatched franchise operating capability, bold restaurant development and unrivaled culture and talent ||| Positive Confident
Dan, this is Kurt ||| Neutral
Connectivity also grew ||| Neutral
If you've been inside a Gap store over the last three or four months, you would notice that we have largely eliminated our, what we call, POS events, where we go further in the store ||| Neutral
Yeah, roughly, yes ||| Neutral
And I think the team has done a great job ||| Positive Uncertain
That's the biggest issue ||| Neutral
And so, if there is a tailwind from currency in 2018, our expectation is that prices are going to have to come down pretty significantly to relieve some of the pressure that's building because we've been increasing prices this year ||| op_risks Negative Uncertain
While it's still very early, we are pleased with the initial results of these new products ||| products_services Positive Confident
Fourth quarter revenues in our Mobile Business Unit, were driven by a favorable pricing environment and significant growth in our eMCP business ||| sales Positive Confident
We obviously invested in marketing ||| Neutral
And of course were cutting them some slack in this area ||| Neutral
And so I do think it will be a blend of those ||| Neutral
We will be revising the disclosures of net, product and service sales in our Form 10-K ||| Neutral
Due to strong execution, sales from our mobile NAND and eMCP solutions nearly doubled year-over-year ||| sales Positive Confident
DRAM is causing a pressure point ||| Neutral
These GAAP results include depreciation associated with stock-based compensation, amortization of intangible assets and amortization of capitalized interest expense ||| op_costs Neutral
These are some of the areas of the business that we expect to drive profit expansion and topline growth for the future of HPE ||| sales,earnings Positive Confident
This year, we did not do either of those ||| Neutral
I would just build that into the forecast ||| Neutral
And so we obviously fully expect to return to stronger new business bookings growth as these compares get a little bit easier and hopefully as some of this uncertainty wears off, but I think that your math is dead on, which is why you hear us still remaining optimistic ||| sales Positive Uncertain
For the traditional Gartner Events business, we continue to expect double-digit adjusted revenue growth in 2017. And for TA & Other, we expect adjusted revenue of between $210 million and $225 million ||| sales Positive Confident
So you should think about it that way ||| Neutral
On CapEx, we expect a significant uptick from recent spending levels in both the first quarter and throughout 2017. This increase is driven partly by some platform deployments that shifted from Q1, but mostly by our desire to continue expanding our secure delivery network and increasing capacity to support our rapidly growing Security business ||| organic_expansion Positive Confident
Given the investments we have already made and plan to make through the balance of the year to drive accelerated growth in CEB's contract value, we continue to expect very modest net synergy flow through in 2017. We remain on track to deliver on our 2018 cost synergy target and are working very diligently to harvest as much of the $50 million as possible in 2018. Moving down the income statement; depreciation charges increased year-over-year in the quarter, predominantly reflecting the addition of CEB, while amortization and integration charges were up significant, again related to the transaction ||| sales,op_costs,organic_expansion Negative Uncertain
As a percentage of AR, it moved a nominal amount ||| Neutral
No, we haven't changed our outlook, Paul, even though we exceeded merch margins by 15 basis points during the quarter, though that was primarily driven by above plan sales which allowed us to leverage markdowns and drive the business with close-outs ||| op_costs Positive
But some would continue to drop to the bottom line and we're not giving guidance in out years, but I would expect cost transformation, although maybe not at the same levels that you see in these three years, will continue as a significant part of this company's future ||| earnings,op_costs Neutral Uncertain
And the other I'd mentioned Anj and I think you know this from conversations with us over the years is there's no finish line for us in terms of productivity ||| products_services Neutral Uncertain
This was above the high-end of our guidance, driven by increased year-end commission costs associated with the revenue overachievement, as well as a significant uptick in litigation spend associated with our Limelight patent infringement cases ||| sales,op_costs Positive Confident
So those are some of the initiatives that I think by extension will impact revenue to the positive ||| sales Neutral Uncertain
So, let me start from this line ||| Neutral
As Tom mentioned, we have been seeing strong traction with our recently launched Image Manager and Bot Manager solutions, and we have continued to see significant growth and demand for all of our Cloud Security offerings ||| sales Positive Confident
EMEA was down 1% due to approximately $20 million of UK currency headwinds, while Products was up 12% ||| products_services Negative
This is true for new distribution, both online in specialty and this is true for a lot of our new innovation which is focused on segments where we have strategic opportunities or strategic gaps ||| organic_expansion Positive Confident
Sales for the third quarter rose 8% to $3.3 billion, with comparable store sales up 4% on top of a robust 7% gains last year ||| sales Positive
This is at the high-end of our guidance of 16% to 19% growth, and we generated $771 million in free cash flow ||| sales Positive Confident
I'm going to give you a couple of examples ||| Neutral
But as far as 2017 guidance is concerned, I had said previously 31% as the potential of revenue, but I think right now, where the numbers are coming out especially with the strength on the revenue side of the equation, we think we end up at about 30% on an expense to revenue ratio in 2017, which, as you probably recall, is at the upper end of what we had said our long-term target model which is 26% to 30% ||| sales,op_costs Neutral Uncertain
I mean, one of the things that has been becoming very obvious, too, is when our customers  remember, we have a very, very large Fortune 500 customer base  when our customers are doing lifts and shifts to the public cloud, whether Azure, whether its Amazon, et cetera, that almost 100% of the time our products are going with that and that product being, it could be classic TMOS with programmability and iRules already included ||| products_services Neutral
When we buy that way, we can buy used equipment and we can buy it at pennies on the dollar where the carrying cost is minimal but the upside potential is tremendous for the reasons that I talked about earlier and the great fall through that we get to free cash flow ||| op_costs Positive Confident
Well, Trac, can comment on some of the financials normally, we dont give out specific growth rates on the acquisitions ||| sales,acquisitions Positive Confident
Why don't you start and I will do the next one ||| Neutral
That's a good thing ||| Neutral
On the free message, we still had that in digital ||| Neutral
But the 2018 volumes look a little bit more like 2016, and they're up meaningfully ||| earnings Positive Confident
The rest of it was principally more broad, just overall product mix ||| products_services Neutral
The average retail price of fuel was $2.28 versus $1.92 in the same quarter last year ||| op_costs Negative Confident
So I would ask you to stay tuned in that regard ||| Neutral Confident
Thank you, Diana ||| Neutral
Nothing has changed in terms of the positive market backdrop ||| Neutral Confident
We are encouraged by the rapid growth of QCW in the quarter and expect another strong quarter in Q2. However, a moderation in the consumer electronics cycle with the completion of key capacity additions later this year, for example, would cause our rate of growth in QCW to slow ||| sales Positive Confident
That increase contributed 2 points to our overall revenue growth in the third quarter ||| sales Positive Confident
Question-and-Answer Session ||| Neutral
But directionally, we feel good ||| Neutral
We will continue to invest in food quality, look for additional ways to simplify operations, and leverage Longhorns unique culture to enable strong sales growth ||| sales Positive
Q3 was another strong quarter for Intuit with a hard-fought tax season that brought some bright spots as well as opportunities to improve, but ultimately delivered at the high end of our revenue guidance for the tax business ||| sales Positive Confident
And while we are not providing specific guidance beyond Q2 during this call, we want to be transparent about our plans to continue to make investments in the business throughout 2017 in the areas outlined earlier even while the Media business experiences a near-term moderation in revenue growth ||| sales,organic_expansion Positive Confident
Thank you, Gabrielle ||| Neutral
So, we have to make sure that as we launch new products they're great products, that they really resonate with customers, that we have consistency and the high quality, that service delivery ||| products_services Positive Confident
I can respond and must respond as you would expect, and I don't want to comment on any specific vendor and their engagement with respect to the RFP process, where they've chosen to participate or not participate or how that  the final submittals will look ||| sales Positive Confident
But besides higher interest rates, which are going to be beneficial to ADP, we think this is going to be beneficial to ADP's new business bookings and to our approach to the market, which is to help our clients and products exactly with this topic ||| products_services Neutral Uncertain
And so, when we chart, we had a chart couple of weeks ago, Microsofts growth over 30 years, salesforces growth, Oracles growth, SAP growth and wow, we really separated ourselves from those traditional growth trajectories ||| sales Positive Confident
We're now seeing across our local customers around 25% of those customers ordering via our online applications ||| products_services Positive Confident
That's the first point ||| Neutral
We grew non-GAAP diluted net earnings per share year-over-year, delivering $0.44 for the quarter ||| earnings Positive Confident
I cant really tell you, okay, next quarter will be this number and that number, because were still looking at the experiences ||| Neutral Uncertain
GAAP EPS was $1.43 per share for the quarter, while non-GAAP earnings per share was $1.95. During Q2, we had a number of large wins that helped drive product revenue growth and reflect our continuing focus on opportunities in security and the cloud ||| sales,earnings,products_services Positive Confident
And where the actual mix occurs among those lines, I think we will just have to wait and see, but thats why I tend to not focus at that layer its like can you get every service better, can you make material improvement, and then of course can you get usage and consumption going that leads to premium service usage, and of course over time youd expect a higher mix of premium versus core ||| products_services Neutral Uncertain
Digital mix continues to be a priority ||| Neutral Confident
And so watch this space for longer-term growth there, but we're really excited about the growth in our core business of sleep apnea and our second Horizon of growth in COPD and our third Horizon of growth in out-of-hospital software ||| earnings Positive Confident
Thank you for joining us on the call ||| Neutral
Acrobat units across Creative Cloud and Adobe Document Cloud combined, again grew double-digits year-over-year ||| products_services Neutral
Operationally, Baxter's sales rose 7%, which excludes the impact of foreign exchange, generic competition for the U.S ||| sales Positive Confident
We got choice coming in ||| Neutral
For the third quarter, the GAAP and non-GAAP effective tax rate was 32.3%, down 4.6 and 4.3 percentage points, respectively, versus the prior year ||| earnings Positive Confident
It's a healthy number ||| Neutral
So we have a successful good business in the mid-market including healthy margins ||| sales,earnings Positive Confident
Yes ||| Neutral
That's back-to-back quarters of profit growth above 25% ||| sales,earnings Positive Confident
We saw strong growth in Luxury, continued positive momentum in Professional and a reduced net revenue decline in the Consumer Beauty division ||| sales Positive Confident
About one-third of our members are in full risk arrangements ||| Neutral Confident
As a result, $1.903 billion is the baseline figure you should use for comparison purposes when judging contract value growth in 2017 on an FX neutral basis ||| sales Positive Confident
So I think it's just too early ||| Neutral
And typically, in the past, we've seen an acceleration in product growth once we are further into the cycle and iSeries represent a higher percentage of our sales ||| sales,products_services Positive Confident
Developed by our scientists, the product is designed to promote visibly healthier skin ||| products_services Positive Confident
This quarter, we saw the continued benefits of strong prior period new business bookings and a strengthening in our retention metric which helped to drive organic revenue growth across all market segments ||| sales,organic_expansion Positive Confident
I think all of you know, the medical aesthetics industry has been probably not quite of the same character and values ||| Neutral Confident
So, listen, we compete hard every day there ||| Neutral
government for being serious about tax reform ||| Neutral Confident
