Excluding Airwave, Managed and Support Services, grew 8% ||| products_services Positive Confident
Thanks for the question, Colby ||| Neutral
OEM Pro growth will continue to be driven by Windows 10 Enterprise momentum and aligned to a commercial PC market that should return to typical seasonality ||| sales Positive Confident
Now, a lot of things can play out and change  change that outcome, strengthening or weakening of the dollar ||| Neutral Uncertain
That is the way that we expect it to play out ||| Neutral
On average, that equates to $50,000 per household ||| Neutral
OEM Pro revenue grew 10%, ahead of the commercial PC market, mainly due to a higher mix of premium SKUs ||| sales Positive Confident
So, we are taking off our revenue guidance on an FX neutral basis and the reason we are doing that is there is a tremendous amount of secular tailwinds that we are seeing right now ||| sales Positive Confident
, similarly we are at the beginning of our launch of hepatitis C in China ||| products_services Neutral Confident
revenue for the year was up 7% on an organic basis, benefiting from a solid 6% client growth and from the continued strong performance of our downmarket, PEO, and multinational solutions ||| sales,organic_expansion Positive Confident
But there's nothing unique to call out relative to moving items within the Global Health Care business ||| products_services Positive Confident
Strong and continued volume growth by Prolia and our more recently launched brands like Repatha, KYPROLIS and BLINCYTO helped offset declines in our mature brands ||| earnings Positive Confident
PayPal generated 3.136 billion in revenue, the first time we've exceeded 3 billion in a single quarter and representing 20% of FX-neutral growth, nearly a 110 basis point acceleration from the first quarter and 70 basis points from a year ago ||| sales Positive Confident
And so you shouldn't say it either ||| Neutral
So thank you to them ||| Neutral
So actually, I'm pretty pleased because if everything works out in the Q4 guidance that we gave, and in 2016 would have been a 32% of revenue; in 2017, approximately 30%; and then obviously, we'll see where we get into 2018. We're very pleased from a viewpoint of being able to make the investments in the business to support the product road map, the go-to-market cost for the ramp of new products, and at the same time, bring down the percentage of OpEx over revenue ||| sales,op_costs,products_services,organic_expansion Positive Confident
When you go back and you really look at it over time, the first time it turn positive is fourth quarter ||| Neutral
A big part of our business is overseas, so some international experience would be helpful ||| Neutral
I think that when we think about earnings, and obviously we have this incredible top line growth, and there is one word that really comes to mind and thats balance, which is that its incredibly important as we grow our company and exceed these incredible revenue targets that we also continue to grow our bottom-line ||| sales,earnings Neutral Uncertain
While we are raising our guidance for the full year, we are maintaining our previous view of the second half by keeping our second half organic growth expectations consistent with our view, 90 days ago ||| sales,organic_expansion Positive Confident
Non-GAAP operating expenses for the quarter were $600 million, down $12 million from the prior year quarter ||| op_costs Negative
The other and smaller change is to our outlook for the Evanta and Talent Assessment businesses, where we've had to focus on fortifying the structures we have acquired to set them up for future growth ||| sales Positive Confident
This year, two of Adobes iconic creative apps are celebrating anniversaries ||| products_services Neutral
We see DRAM industry supply bit growth of about 20% in calendar 2017 and expect it to grow at relatively similar levels in calendar 2018. The DRAM industry supply demand balance is expected to stay healthy throughout calendar 2018, driven in part by ongoing strength in data center and cloud computing trends ||| sales Positive Confident
We are growing market share in a significant way ||| competition Positive Confident
So as a reminder, I think about 6% of the applications base can be covered by this platform, and it goes beyond the chemical side of this ||| products_services Neutral Uncertain
We saw something very normal to that ||| Neutral
And the other thing that I would add and I do think there is one little extra bit of color that I would like to add, Karl, which is look at that trending just as it is and then you take a look at the fact that last year in Q2 2017, we had a seasonally soft Q2 2017 and we had a seasonally strong Q3 2017. And so, you put that and you look at that results delivered at minus 9% quarter-on-quarter and youll see it perfectly on the graph but then you put it in juxtaposition to this year in Q3 2018, we have a -- obviously were appropriately guided and we had a very strong Q2. So, those are the things to think about as well the bottom line and thats where were at, thats what you should consider ||| earnings Positive Uncertain
I think it's commentary not necessarily on fast food but on independent restaurants and what we continue to believe is why they are positioned well to grow ||| products_services Positive Uncertain
We have TurboTax in the U.S ||| Neutral
As those are all rolling off the first three year milestone, we are clearly selling them both on the CC complete solution as well as on services ||| products_services Neutral
As Tom highlighted, Q1 was another solid quarter for Akamai with both revenue and earnings coming in at the high end of our guidance range ||| sales,earnings Neutral
So I think we have got a little bit of work to do there, but I feel terrific about the talent thats joining new organization ||| Neutral
So, it's all of those things, which of course I'm going to say, I run the company and we are going say that we think they're unique ||| Neutral
The growth initiatives around A3, our graphics business, everything is a service which will obviously provide growth opportunities for us over the next two to three years and then further out into the future over the next five to ten years, the work were doing around the most of computing and 3D printing, really crates an opportunity for long-term growth for our shareholders ||| products_services Positive Confident
Thanks, Gabrielle ||| Neutral
And we're not satisfied at 83% or 84% ||| Neutral
This will be a big part of our overall supply growth in the second half, which we expect to be greater than 20% ||| sales Positive Confident
So you see four quarter ||| Neutral
And we've done that again this year ||| Neutral
And if we don't get our product right, we will not win regardless of how good we are in digital or many other things ||| products_services Positive Confident
2018 is when it starts hitting the road ||| Neutral
So overall just a very healthy mix shift going on and I think that that will continue to unfold through 2018 and beyond ||| sales Neutral Uncertain
Hopefully  certainly to ourselves and, hopefully, to all of you as well ||| Positive Confident
Will be first  a little  I would say fourth quarter of 2018 we'll have a (43:16) first patient clinical trial ||| earnings Neutral Confident
We have additional products coming but obviously, we're taking a pragmatic approach to the investment and applying it where we see the most opportunity ||| products_services Neutral
Post-spins, we're a resilient fee-driven business with a very disciplined strategy that's focused on growing market share, units, and free cash flow per share, as well as preserving our strong balance sheet and accelerating our return of capital ||| Neutral
In the Europe and CIS region, revenue declined 1% or increased 4% on a constant currency basis, while transactions increased 8% ||| sales Negative
So that's what we're looking forward to ||| Neutral
I feel confident in our ability to continue to make progress on our overall commercial cloud gross margin growth, and I am encouraged by the demand signals we are getting ||| sales,earnings Neutral Uncertain
As we have said, we believe free cash flow growth, especially on a per-share basis, is most important to maximizing shareholder value in the long term and will be valued only if it is productively invested in the business or returned to owners ||| products_services Positive Confident
It's almost like the Colonel 60 years ago realized one day we'd be delivering this stuff ||| Neutral
GAAP operating margins, expressed as operating income as a percentage of gross profit, are expected to be about 340 bps lower than prior year Q4. Q4 adjusted EBITDA is expected to range between $870 million and $910 million, which at the midpoint, is up about 2% versus prior year ||| earnings Neutral
If you amend that by the fact that Gartner which tracks many, many security-related companies such as ourselves, are now putting us in the leading quadrant for the activities that we do, obviously, the attention that this is getting is positive for our business even if it's negative for the world and so we-re seeing that with the acquisition of Cigital, with the commentary that Trac just gave you on the existing business ||| acquisitions Positive Uncertain
Yes, Michael ||| Neutral
In addition, our tax rate may also vary from quarter-to-quarter due to the projected geographic mix of earnings, the impact of ASU 2016-09 related to stock-based awards, as well as the timing of certain items ||| earnings Negative
We're pretty pleased with our international growth, but you're right that our international growth has been growing very fast and growing very fast particularly in our Asia-Pacific region ||| sales Positive Confident
Some of the growth comes from having just more dots on the map, right ||| Neutral
This modest decline is primarily due to our newer acquired businesses such as Capterra, SCM World and L2 having lower gross contribution margins than traditional business ||| sales,earnings Negative
And I've always said with these types of line extensions, it's a great product, but it's a line extension ||| products_services Positive Confident
Connect IQ now features over 2,500 apps, widgets and watch faces and has generated more than 24 million downloads since inception ||| products_services Positive
And really you are going to see the growth of that, really in 2018 as when we are going to start having some of our launches ||| sales Positive Confident
Third quarter revenue for surveillance was $146.8 million up 8% from the third quarter of 2016. Airborne and man portable products were particularly strong, compared to the prior year and the addition of the UAS business added inorganic revenue growth all partially offset by a decline in our land products due do a difficult comparison in the prior year ||| sales,products_services,organic_expansion Positive Confident
But our numbers are 2% unit growth, 9% year-to-date revenue growth and the average revenue per unit went up about 7% and that was the math that Jim was just asking about a few minutes ago as well ||| sales Positive Confident
The fact that you may see competition where there may be less differentiation, the real differentiation is where you've always been able to achieve margin and margin expansion, which is in the completeness of the solution or its delivery, the completeness of the business process change or not ||| sales,earnings,competition Positive Confident
And so I think the EPYC product performance is very important ||| products_services Neutral Uncertain
So while I would say overall, theres been some mitigation in that pricing environment I would not say it is universal and were not counting on that for the delivery of our operating margin in 2018. And then DRAM pricing appears to now be leveling out and you talk to people in the industry, it appears that supply is now beginning to match demand there is going to be more supply I think from the key vendors of memory and so well see what happens ||| sales,earnings Neutral Uncertain
And so we just give you a range because again as we formulated our look at the earnings picture as of today we felt that our range would be prudent ||| earnings Neutral
Cost of goods sold improved by 110 basis points in the quarter, driven primarily by 65 basis points of lower distribution expenses mainly from the timing of packaway-related costs that negatively impacted last year's fourth quarter ||| op_costs Positive
Moving to Security ||| Neutral
We had good movement in growth in France and we feel good about our business in Sweden and obviously with what we are doing in Ireland we continue to feel pretty good about that as well ||| organic_expansion Positive Confident
And as we go into the initiatives for the year, you see, or quarter-by-quarter great initiatives coming from us for our brands and also our partners' brands ||| Positive
I mean, it all starts as a good product or a great product ||| products_services Positive Confident
And to your second point, ROIC is going to continue to be the key part and then ultimately well launch something that is top-line and bottom-line accretive in growth rate for the company ||| earnings Positive Confident
This modest decline is primarily due to our newer-acquired businesses such as Capterra, SCM World and L2 having lower gross contribution margins than our traditional business ||| sales,earnings Negative
Thank you, Brian ||| Neutral
So, as time moves on weather stabilizes, we are seeing improvement in those categories ||| Positive
Xbox Live monthly active users grew 13% across Xbox One, Windows 10, and mobile platforms, which contributed to software and services revenue growth of 7% and 8% in constant currency ||| sales,products_services Positive Confident
I would say Europe for us was pretty flat, and this was a little bit offset also by some modest declines around the rest of Asia excluding China, aftermarket, and commercial vehicle off-road ||| sales Negative
Its something that were thinking about ||| Neutral
And then also last year, the acquisition of Evanta didn't happen until Q2. And so we've got the grow-over problem of expenses that weren't in there last year, plus the revenue doesn't really start coming in until Q2. There's also, as you can probably see from the revenue, a decline year-over-year on revenues of about $9 million, that's also flowing through ||| sales,op_costs,acquisitions Negative Dodgy
In December, we completed our acquisition of TubeMogul, a leader in demand-side video advertising ||| acquisitions Neutral
We'll continue to work with our government on tax reform measures that support U.S ||| Neutral
Just a note on the general business of Baxter, for Europe, we have made significant changes in management and as well as country management ||| products_services Positive Confident
So Vega is really a new architecture ||| Neutral
So its all plus ||| Neutral
Thanks, Chris ||| Neutral
Device growth was particularly remarkable given that we were up against a 24% year-over-year comparable ||| earnings Positive Confident
Adobe had an outstanding first quarter with record revenue of $1.68 billion and record profit, GAAP earnings per share in Q1 was $0.80, and non-GAAP earnings per share was $0.94. We continue to execute well against our strategy, and are driving momentum across our entire business ||| sales,earnings Positive Confident
We will then be happy to take your questions ||| Neutral
We expect Microns fiscal 2018 DRAM bit output growth to be slightly below the industry growth rate ||| sales Positive Confident
So we would expect that we are feeling some impact on sales ||| sales Negative
Of course, we could be wrong about that ||| Neutral
EMEA was up 6% on strong demand in products, while backlog was down from the Airwave revenue conversion ||| sales,products_services Positive Confident
But I can give you a little color, Tier 2 and Tier 3 overall, theres a number of things that have been going on here ||| Neutral
This is precisely where Synopsys excels ||| Neutral
Yeah Monika, this is John ||| Neutral
And third, we continue to expect the underlying EBITDA margin growth to average between 30 basis points and 60 basis points for the next three years to four years, while we remain focused on growing our top line, as well ||| op_costs Positive Confident
Sure, Ross ||| Neutral
Our Surface business declined 26% and 25% in constant currency, as heightened price competition and product end-of-lifecycle dynamics resulted in lower than expected Surface Pro unit volumes ||| products_services,competition Negative
And Tavis, this is Gino ||| Neutral
Moving down the income statement; depreciation charges increased year-over-year in the quarter reflecting capital spending to support our growth, while acquisition and integration charges increased by almost $5 million ||| sales,acquisitions Positive Confident
Choice is driving both reduction in churn which helps to net new actives obviously, but its also driving additional new adds because the on-boarding process is so much more streamlined, and then you also have partners that are now actively marketing PayPal because together we're sort of allies in advancing digital payments and tapping into that growth ||| sales Positive Confident
And so they have been broad users of our tools ||| Neutral
We really hope you'll join us to hear about our vision for the future, and demonstrate both product and partner progress against that vision ||| products_services Neutral
We've mentioned that you're always trying to balance the declines in ASPs across different product lines with new product introductions and getting a benefit from the higher power lasers in different product categories that we get to ||| products_services Negative
Payments grew 1.1% for the quarter ||| Neutral
I would expect that  the EBITDA margins to be fairly consistent with the full service, maybe down a little bit ||| sales,earnings,products_services Positive
Question-and-Answer Session ||| Neutral
I think we talked about the secular trends, particularly in Fitness, and we do anticipate that basic activity trackers are going to see a maturing cycle starting now and going forward into the future ||| Neutral
Our third focus is to stabilize the remaining brands, whether through active portfolio rationalization or other majors ||| products_services Positive Confident
Linearity, yes ||| Neutral
The revenue decline improved relative to second quarter's rate, but we still experienced the impact of soft conditions in the oil-producing markets ||| sales Negative
Segment gross margin dollars grew 14% and 16% in constant currency, with 12 points of contribution from LinkedIn, including $217 million of amortization ||| sales,earnings Positive Confident
Progress and growth and profitability is ahead of our prior expectations ||| sales,earnings Positive Confident
So we're trying to find ways to find other offers ||| Neutral
In the quarter, we generated over $580 million in free cash flow and ended September 30 with approximately $1.5 billion in cash and marketable securities, of which approximately 35% is in the United States ||| earnings Positive Confident
Since our first-line lung approval in late October, we have seen a significant acceleration in PD-L1 testing in non-small-cell lung cancer ||| earnings Positive Confident
This capacity we can buy ||| Neutral
Now to guidance ||| Neutral
With that I'll turn it back over to Joe for final comments ||| Neutral Confident
The acquired integrated imaging solutions line of business was the driver of this growth ||| sales Positive Confident
If you would normalize for this impact, Communications adjusted operating margins expanded significantly in the first quarter of 17. And to really illustrate the progress that we have made in this segment over the past four quarters, adjusted operating margins have expanded from approximately 8% in the second quarter of last year to 13% in the quarter we just completed ||| sales,earnings Positive Confident
It was about 1.7 percentage points of share gain ||| competition Positive Confident
But to the extent that your old gross margin target was sort of 36% to 40%, I'm just kind of curious ||| sales,earnings Neutral
We typically on a margin basis, we typically have a combination of factors from some lower selling prices, we're also by the way because we produced a lot of our products in the U.S, the strong dollar is not  not our friend as it relates to international margin ||| earnings Neutral Confident
It's a very healthy business for us ||| Neutral
But I think we'll continue to see competition from startups, from the traditional players, and from the cloud providers ||| competition Negative Uncertain
The loyalty business is actually very interesting ||| Neutral
Sure, Katy ||| Neutral
Volume and price were net positives, which were offset with costs, mix and FX ||| sales Positive
To close out our geographic discussion, we had continued strong growth in the rest of the world, which was up 21.2% year over year ||| sales Positive Confident
So, we had to make some changes ||| Neutral
Accordingly, we continue to expect new business bookings growth in the second half of fiscal 2017, but in light of the second quarter decline, we have now revised our outlook and now expect to be about flat for fiscal 2017 as compared to the $1.75 billion sold in fiscal 2016. The client experience remains a priority for us whether it's through investments in our service model, in innovation and the user experience or in our efforts to upgrade clients with the most appropriate strategic based platforms, we believe that we have the right strategy to address these continuously evolving needs and opportunities and we remain pleased with the progress we are making ||| products_services,organic_expansion Negative Dodgy
Mobile is re-defining the phase of retail ||| Neutral
At a company level, LinkedIn contributed approximately 5 points of revenue and gross margin growth ||| sales,earnings Positive Confident
That concludes my prepared remarks ||| Neutral
Were leading in our core markets, were entering new growth markets and natural adjacencies and at the same time investing in the future ||| sales Positive Confident
We continue to see very, very good momentum displacing competition to gain wallet share ||| competition Positive Confident
Europeans are staying closer to home ||| Neutral
Net income was $110 million or diluted earnings of $0.10 per share as compared to $27 million, or $0.03 per share a year ago ||| earnings Neutral
The year-over-year and sequential backlog growth continues to be driven by North America, which had 13 P25 system orders valued at over $10 million each ||| sales Positive Confident
Importantly, Surface gross margin dollars grew 6% and 17% in constant currency from an increasing mix of Pro 4 and Book replacing Surface 3 in the portfolio ||| sales,earnings Positive Confident
And we believe the reason for that is our strong product lineup and superior features and technologies that we have in our products ||| products_services Positive Confident
And so what I believe is that what the growth areas in the client space, gaming, virtual reality, thin and light, they're requiring performance and power ||| sales Positive Confident
Obviously, we're -- on October 23 we are still seeing great fourth quarter trends through the -- through this past week some great trends and we are seeing it across our business and across regions ||| sales Positive
This will continue to evolve as we advance and connect these practices and patients and integrate their pharmacy and other ambulatory and acute services ||| Neutral Confident
We haven't pulled out what the impact of, specifically, of the risk-based project and some of the compares are, particularly on the EMV, because that's just ordinary business, difficult compares, and we've got to grow through it ||| op_risks Negative
We remain on track to launch the first products from our next-generation Radeon Vega family later this quarter ||| products_services Neutral
That is the consolidated number ||| Neutral
So as we've talked to patients, patient bloggers, patient groups about their needs, it's clear the unmet need continues to be large ||| products_services Positive Confident
Turning to the results, first quarter revenue grew 38% to a record $286 million ||| sales Positive Confident
Q4 will still be our largest quarter ||| Neutral
And we plan to further broaden our performance, security and enterprise offerings where we see substantial long-term growth potential ||| sales Neutral
We think that is not just because of volatility but I think because some of the things we've been doing around investments in our service organization ||| products_services,organic_expansion Neutral Uncertain
I think that right now fiber supply is very tight ||| Neutral
And we couldnt be more excited, as I said ||| Neutral
The travel agent community has also been a very positive force in this effort ||| Positive
In closing, we were pleased with our first quarter results ||| earnings Positive Confident
Adjusting for the hurricanes, gross profit dollar growth would have been approximately 4.3% ||| earnings Positive Confident
Its a great question David ||| Neutral
So I think of enterprises being heavier in Q4 and Q1, products subs are very strong, we mentioned that in the opening commentary that was the leading driver of the growth, 227,000 remodel sub adds during the quarter and cloud was also strong albeit from a smaller base ||| products_services Positive Uncertain
Q1 was a really tough comp ||| Neutral
And so while we of course get some strength from our largest geos, and I would say they were probably the largest contributors if it was actually quite broad there is not only one place for me to say that we just saw it here, and then the final component that I would say was better than we anticipated and the way youd see that cash, again versus the unearned guidance and the beat that we had there with that final piece around our security value prop, ATP - Windows annuity growth was very good ||| sales Neutral
Sure, yeah ||| Neutral
Our cloud connected non-invasive ventilators and light support ventilators continue to grow globally and we are building our connected care strategy for COPD ||| products_services Positive Confident
And so we started to transition to drive new logo growth in the midmarket and those channels have to readjust a little bit as a consequence of the ACA surge that has driven a more complete bundle in particular in the midmarket ||| sales Positive Confident
First of all, I think the 7% number is correct ||| Neutral
We've made solid progress in Clustered ONTAP in terms of transitioning our install base, and are doing so with greater operating margin leverage ||| sales,earnings,organic_expansion Positive Confident
Starting with demand outlook; for our international market expect seasonally slower period for APAC with the Lunar New Year and for EMEA with winter holiday and vacation ||| products_services Positive Confident
And again, adjusting our products to suit the changing wishes of the consumer has paid off in a very nice way ||| products_services Positive Confident
How I think about it in the data points I point to we talked about in the past that CBT is a little bit less than 20% of our overall GMV, so thats product going between borders that might be exposed to a  but theres no single quarter in that number thats greater than a third, right ||| Neutral
I'm pleased with our year-over-year revenue growth of 25% in the Cloud vertical and would point out that our cloud solutions are addressing the cloud transformation across all of our key verticals ||| sales Positive Confident
So, yes, we will dial CapEx in alignment with our revised projections, but we need to continue to build out as traffic grows and we don't have CapEx just for our Media business that while our Media business is certainly the most CapEx intensive that we do build our CapEx, as I mentioned, with our rapidly growing Security business, we're building out more attack capacity for Prolexic ||| organic_expansion Positive Confident
So in fact at this point in time about half of our full year exposure is already locked in through the combination of contracts as well as hedges ||| op_risks Positive
Our DSO target remains approximately 35 days ||| Neutral
I think the important part in what Satya says is the distinction between really engineering investments that take multiple years of investment and world view on a TAM and holding ourselves accountable to sales and marketing investments ||| sales,organic_expansion Neutral Uncertain
Clearly, we're very pleased with the continued performance in managed and support services, continuing to grow mid-single digits recurring revenue, but no real commentary ||| sales,products_services Positive Confident
At this point, we have made a strong case to CMS and Congress ||| Positive Confident
Despite our relatively slow start to the year on a top-line basis, which we expected, we remain confident in the full-year growth rates we provided at the beginning of the year and the underlying strength of the core operating segments ||| sales Positive Confident
Amnon is out ||| Neutral
Thanks, Danielle ||| Neutral
We estimate we will deliver cost of goods sold HMM savings of approximately $390 million, which will more than offset input cost inflation of 3% ||| op_costs Positive Confident
Typically, I might be wrong ||| Neutral
Last year, we added about 33 new clients with CRM ||| Neutral
And so I think, we remain confident that double-digit target that we have for that KPI and is it really, I don't think sort of a comparability challenge per se, but thats why we try to keep it at that high level to not get too tied to one or the other, given we know the TAM expansion thats possible, we know we can grow within it ||| organic_expansion Neutral Uncertain
Based on our past performance on our outlook for the remainder for the year, we now anticipate annual organic sales growth to be in the range of 6.5% to 7% for 2017. As a reminder, the third quarter will have one less selling day as compared to 2016 and the fourth quarter will have the same number of selling days ||| sales Neutral Confident
Therefore, when you deduct the eight points against the 10% constant currency growth, net adjusted supplies growth for Q3 2017 was 2% year-over-year ||| sales Positive Confident
Yeah ||| Neutral
This growth translated into better-than-expected operating revenue of $38.7 billion during the year, an increase of $1.1 billion, or 3%, compared to 2015. Our 2016 operating margin of 8.3% compared to 7.6% in 2015, an improvement of 70 basis points ||| earnings Positive Confident
But strong digital skills alone are not enough ||| Neutral
So from the ticket side, I'd say that's really about 50 basis points, and you can basically deduct that as part of the 120 basis point overall ||| Neutral
As this is now essentially over 80% of our inventory receipts are coming in localized, it's hard to measure, to be honest with you, to say what the lift of localization is ||| Neutral Uncertain
with the new administration, it's somewhat of an uncertain time ||| Negative Uncertain
Per an earlier question, notwithstanding the year-to-year differences, the semiconductor industry has had a fairly steady growth rate and with steady R&D expenditures, and therefore fairly steady EDA growth all in all ||| sales Positive Confident
Like a performance in board games, we came to the year with the number one market share in swim and have extended that lead to become the clear destination for swim in the U.S ||| sales Positive Confident
We recently decided to enter the Northern Plains health insurance markets, including Minnesota beginning in the second half of 2018. Our team in Minnesota is looking forward to serving our neighbors more fully in coming years ||| organic_expansion Positive Confident
We're highly confident that our specialty materials business will grow in 2017. The only question is how big that growth will be which will depend on the timing and extent of customers employing Gorilla Glass 5 and other Corning innovations ||| sales Positive Confident
Adjusted EBITDA for the first quarter was $241 million, down $6 million from Q4 levels, due to seasonal revenue declines, and up $7 million from the same period last year ||| sales,earnings Negative
So in the normal ranges ||| Neutral
And part of that, quite frankly, has to do with  bigger customers get bigger discounts, and as the MSOs continue to get larger and larger and create a bigger piece of the pie, that's actually good for us, because they use a lot of the parts that we sell ||| Negative
market, and that strength in the U.S ||| Neutral
And we just launched the N20 and F20 at the ERS ||| products_services Positive Confident
I'd say in our forecast, we reported 7% global sales growth over the prior year ||| sales Positive Confident
Approximately 70 basis points of the decline relates to the impact of Andrew Page and the incremental cost in 2017 related to the new T2 facility ||| op_costs Neutral
You followed the business for a lot of years ||| Neutral
I think about the transition or the shift to digital in two pieces that sort of the services that we offer to clients ||| products_services Neutral Uncertain
Looking at our Computing and Graphics segment, we made excellent progress in the quarter and reported operating profitability for the first time in three years based on our leadership Ryzen processor and GPU product offerings ||| earnings,products_services Neutral
Clearly the  we believe that most efficient way to execute autonomous vehicles is with the pure EV, that's why we are using our Bolt EV platform ||| products_services Neutral
This performance is due in part to our continued efforts to upgrade clients to strategic cloud platforms as well as the investments we've made to improve the client service experience while also aided by the easier compare from our fiscal 2017 first quarter federal government OPM contract loss ||| earnings,products_services,organic_expansion Negative Uncertain
We continue to maintain a strong balance sheet, ending the quarter with $863 million in cash, cash equivalents and short term investments and $40 million of debt ||| organic_expansion,debt Positive Confident
So we are doing an effective job of filling that earnings hole with gains in our base business, as well as Cynosure ||| Neutral
Now we have what I would call the political issue ||| Neutral
As Dion highlighted, both graphics and managed print services continued to grow revenue year-over-year and we have the opportunity to increase our growth rates ||| sales,products_services Positive Confident
Second, we should remember that the studies include two different medicines, both in terms of the PD-1 and PDL-1 and in terms of the CTLA-4. Dose and schedule are extremely important ||| products_services Neutral Confident
And finally, turning to Europe and Sub-Sahara Africa, we had very good results across the region, with organic revenue growth in each of our major markets and a sequential acceleration overall ||| sales Positive Confident
So I think, Stacy, first, we're quite proud of the growth rate we're seeing and especially the growth rates in the growth segments ||| sales Neutral Uncertain
All-Flash storage grew 30% year-over-year driven by Nimble, which exceeded both revenue and profit plans for the quarter ||| sales,earnings Positive Confident
And again what we've done and we've learned this through experience on our own side is you have to find that right balance and the additional 80 right now in terms of that, first foray of significant growth, coupled with all the other operational change we're implementing is what we believe to be the right balance right now ||| sales Positive Confident
And that's a global statement, not just a U.S ||| Neutral
TIO just came on ||| Neutral
But it'll certainly help both IFS and, we believe, GFS for full year in terms of organic growth ||| sales,organic_expansion Positive Confident
Thank you ||| Neutral
Thanks, Mark ||| Neutral
And, Michael, it's Larry ||| Neutral
So, I believe that the experience in the store and innovation are both part ||| products_services Neutral Confident
In addition to a continuing drumbeat of technical improvements, the strong correlation between the design and sign-off tools is a massive risk-reducer for our customers while impacting their time to market ||| op_risks Positive Confident
Sure, Chris ||| Neutral
Thanks, Sterling ||| Neutral
It's a great question, Tim ||| Neutral
We're seeing double digit volume and transaction growth across most of our markets ||| sales Positive Confident
The second is what we have heard from some of the smaller laboratory association that affect some of the data input ||| products_services Negative Uncertain
Our new XOXO condom, which is geared towards women, is going very well ||| products_services Positive Confident
Growth in this area was broad-based including double-digit growth in both videogames driven by Nintendo switch and Apple within electronics ||| sales Positive
Youre welcome ||| Neutral
Consolidated adjusted EBITDA of $3.04 billion to $3.12 billion, implying reported growth of 3% to 6%, or 6% to 9% adjusting for the impact of the PS&E divestiture ||| sales,earnings Positive Confident
International organic sales growth of 5.5% was highlighted by solid performances in Europe and Australia ||| earnings Positive Confident
Thats all good news for us ||| Neutral
Thanks, Matt ||| Neutral
In Office Commercial, revenue increased by 5% and 7% in constant currency, as Office 365 growth again outpaced the shift from the on-premise business ||| sales Positive Confident
We start that around May every year with it being a September year-end, and recognizing that we weren't going to have the robust industry trends that we had experienced in the past couple of years ||| products_services Negative Confident
Anything to add, Tim? ||| Neutral Uncertain
And so I'd say other revenue incorporates a number of things, not just advertising ||| sales Neutral
It's been that way for some time, but it's steady growth, so it's much more consistent growth in Over The Top than say gaming or software downloads, which tend to be much more variable based on games that get released or software updates that occur ||| sales Neutral
There have been some delays ||| Neutral
As you could see, we're off to a really good start, and we're happy that the initiatives that we have around enhancing our service, the innovation of our products and expanding our distribution model are working ||| products_services Positive Confident
In calendar quarter one, we beat the year-over-year PC market unit growth by 12 points, once again outperforming all key competitors and the market as a whole ||| sales Positive Confident
But also we need to focus on the drivers of success ||| Neutral
Moving to professional visualization, Quadro revenue grew to $205 million, up 8% from a year ago, amid continued demand for high-end real-time rendering and more powerful mobile workstations ||| sales Positive Confident
The progress we are making with respect to new platforms and improved service is leading to happier clients and improvement in our NPS scores ||| products_services Positive Confident
revenue grew 2% or 6% after adjusting for the McAfee transaction ||| sales Positive Confident
So, it's safe to say that there will be at least a goodly amount of milestones in Q2, but Q1 there is just one so far, as a result of that plus it would be additional programs we talked about collaborations between Agenus, Merus and Calithera there will be a loss in Q1, because there won't be enough milestones to offset those one-time R&D costs ||| earnings Neutral Confident
I think it's also fair to comment that even outside of Media that I think the company is certainly much more diversified now than it was kind of even a year ago or two years ago, that our performance in Security business now represents 60% of the company's revenue, you include kind of services, call it 70-plus percent of the revenue ||| sales,products_services Neutral Uncertain
Industry normal price changes year-on-year in a steady pricing environment ||| earnings Neutral Confident
And the other thing I'd add, Gary, good morning, is fundamentally the new seat-based products, because they do leverage best of both research from the traditional CEB side and from a traditional Gartner side and because they are seat-based products sold to a specific individual and then servicing a specific individual are, by their very nature, higher value products ||| products_services Positive Confident
Bryan its Dan ||| Neutral
And then I think you're going to see us do more in the way of new customer acquisition, Land and Expand model, and I think some of the new offerings are actually going to help us with that ||| acquisitions Neutral Uncertain
Toni, it's Craig ||| Neutral
Okay, Keith ||| Neutral
Again, the average is hide the true story which is we feel like we have a real-estate opportunity in front with us with Old Navy ||| Neutral
We signed up some great business in the quarter ||| Positive Confident
The year-over-year adjusted operating margin improvement included advertising and promotion, or A&P, investments in line with the prior year ||| earnings Positive Confident
On the cost side, I think one of the interesting things here is that we think the market price of diodes is still around $10 per watt ||| op_costs Neutral Uncertain
So, on to the quarter ||| Neutral
On the labor relations front, we are currently negotiating agreements with UFCW for store associates in Atlanta, Dallas and our Food 4 Less Warehouse Stores in Southern California ||| products_services Neutral Uncertain
These takeout visits are different ||| Neutral
So let me start ||| Neutral
First of all let me back up and give a bigger context to this ||| Neutral Confident
Bank, that's our partner in this co-brand ||| Neutral
And we think that's important to highlight ||| Neutral
This growth is largely driven by the exceptional and differentiated consumer experiences we enabled on mobile devices ||| sales Positive Confident
And we estimate this benefited same-store sales by approximately 120 basis points ||| sales Positive
I think it is very much project based and it has always a little bit the characteristic that the minute they figure out what's going to be in the project, they would like to have the IP the next day which, of course, not possible because a lot of this gets developed as part of agreements and service development sets ||| products_services Neutral Uncertain
Our general growth comparison was impacted by the recognition of $4 million of revenues in the third quarter of 2016 related to the recontracting of a single APTP contract ||| sales Positive Confident
Obviously, that's why we took our guide down, but if you look at memory costs in 2Q, they're actually up another 10% ||| op_costs Negative
