Yeah ||| Neutral

Looking ahead, we remain committed to our objective of creating value for shareholders and to successfully executing on the growth opportunities ahead of us ||| sales Positive Confident

So, Judy, look, we  our cost savings and synergy plans are on track ||| op_costs Positive Confident

In terms of the head count growth, as we have talked, we do a bottoms up planning exercise around all the territory growth we want to do at any given year ||| sales Positive Confident

As the year progresses, if we don't see any further M&A opportunity, we could increase the buy back and be even more active ||| acquisitions Positive Confident

And the launch of INSPIRA implants continues to exceed expectations ||| products_services Positive Confident

Yes, look, I wanted to reassure people that our trends of double-digit growth have continued into the quarter ||| sales Positive

So we think we're very well-positioned, we think we're positioned globally in all regions of the world around the players in that market and it is part of our content growth story of how we position ourselves and it's investments we've been making ||| sales,organic_expansion,competition Neutral Uncertain

And because it's already gone down from low double digits to more high single, I think the risk of it going significantly lower in the future, I think, is lower also ||| earnings Neutral Confident

The year-over-year increase includes spend associated with the build of the dedicated field teams in preparation for the gMG launches in the U.S ||| earnings Positive Confident

This multi-pronged approach will take time to yield results, but we strongly believe this is the right way to strengthen our business for the long term ||| earnings Neutral Uncertain

Based on current FX rates, we expect less than 1 point of negative impact on revenue growth overall and for each segment ||| sales Positive Confident

I will then discuss our 2017 full-year guidance ||| Neutral

Thanks, Andy, and good afternoon, everyone ||| Neutral

I understand the question ||| Neutral

I think that we look at having a toolkit of levers that we can pull, depending on whats happening in the external environment and maybe good our top line promotional activity is ||| sales Neutral

Europe had a number of them ||| Neutral

The planning process is behind us and we are now focused on execution ||| Neutral

Were not experiencing this in other categories ||| products_services Neutral Confident

And when you look at 20 years of data, our new business bookings growth over the course of rolling four quarters because obviously any one quarter can have issues like we just experienced ||| sales Positive Confident

Our transformation is accelerating ||| Neutral

We're very excited ||| Neutral

As a result, monetary balance sheet accounts are revalued into U.S ||| earnings Positive Confident

This segment had yet another quarter of significant profit growth with operating profit growing over 60% from a year ago as the business continues to execute and benefit from continued improvements in 14-nanometer unit cost, richer product mix and lower spending, primarily from the Client business having a decreased share of technology development and SG&A allocations ||| earnings,op_costs,products_services Positive Confident

We're not tracking the same way ||| Neutral

So we certainly sell a lot of instant consumables there ||| products_services Positive Confident

As part of its Cloud Edge strategy, a top U.S ||| Neutral

We dont do that ||| Neutral

North America carrier network business provided the fourth quarter growth highlight, as demand for our fiber-to-the-home solutions remained strong ||| sales Positive Confident

I think the opportunity is going to be across a number of things ||| Positive

So is it a structural difference? It certainly is a structural shift, and we will continue to be working on that so that we do eliminate volatility over the long-term ||| op_costs Positive Confident

I mean we listed out the headwinds ||| Neutral Confident

It's not so much for the Media business ||| Neutral

I am so happy you asked that question ||| Neutral

So we certainly have the expectation that we're going to return to double-digit growth in 2018. That's still where we believe we can be ||| sales Neutral

By geography, greater Asia, including China and EMA grew double digits and sales in Latin America were up high-single digits ||| earnings Positive Confident

So we're very pleased with that ||| Neutral

Hi, Brandon, it's Joe ||| Neutral Confident

So I don't know, I think the new products are driving the growth and the execution is been strong, the uptick is been strong ||| earnings Positive Confident

So, Geoff, it's Tony ||| Neutral Confident

We were able to largely offset declines in average selling prices with, one, improved manufacturing efficiency; two, component and material cost reductions; and three, a larger proportion of our sales coming from high power CW, high power pulsed and QCW lasers which carry a higher gross margin ||| sales,earnings,op_costs Negative

First of all, you're correct ||| Neutral

Thank you, Tom, and good afternoon, everyone ||| Neutral

I think that is aligned with customers' spending priorities and it is the best investment protection argument that any vendor in the marketplace can offer customers, which is, you can start with us on the cloud and move your data on premises ||| products_services,organic_expansion Neutral Uncertain

Jeff highlighted earlier, the headway we're making in advancing our strategic growth areas, and we continue to target our revenue mix to these areas by approximately three points this year ||| sales Positive Confident

Beginning with Research ||| Neutral

And I think the acquisition profile that had been successful for us whether its Aruba or SimpliVity, etcetera is the following ||| acquisitions Neutral Uncertain

Thanks Jim ||| Neutral

Accordingly Q1 CapEx should be approximately $70 million to $75 million ||| earnings Positive Confident

So that's where we ended up ||| Neutral

Similarly, as we consider the recent record sales results, many of the sales we have closed over the course of this fiscal year will not begin to have an impact on reported revenues until late fiscal 2018, 2019, and in some cases, even 2020. The growth in revenue attributed to Net New Business was offset by negative 2 points of internal growth ||| sales Positive Confident

Let me talk to STAR WARS and the shift, and Deb you can do the first one ||| Neutral

But with that introduction to it, Jim anything further to add for the U.S ||| Neutral Confident

In addition to that, there's batteries and LCDs ||| Neutral

I would say, still very early days ||| Neutral

Our A3 business is off to a strong start since launching its new product lineup in Q2 and we're excited about the opportunity to be a disruptive new entrant in this $55 billion market ||| products_services Positive Confident

Operating profitability was very strong in the quarter; we generated operating income of $490 million, which was an increase of 34% compared to the $366 million that we generated in September quarter ||| earnings Positive Confident

For Q3, Andrew? ||| Neutral

Correlate with it and I admire that ||| Neutral

We have long-term agreements with many of them ||| Neutral

Here our primary financial goals were resetting for fiscal 2018. We're projecting the total ARR growth will increase to between 24% and 26% ||| sales Positive Confident

We expect issuance growth to improve in the fourth quarter and in 2018. Importantly, we recently re-signed BMO, our largest AIR MILES sponsor, to a multi-year contract ||| sales Positive Confident

So we see many tuck-in opportunities out there ||| Positive Confident

With that, let me turn it back to Dave ||| Neutral

Looking ahead to the first quarter, we expect to see a normal sequential revenue decline for seasonality, perhaps a bit more pronounced in the recent years due to the particularly strong media performance this past quarter ||| sales Positive Confident

Q2 is always a tough quarter for us to understand exactly how it's going to play out given the seasonality of our business ||| sales Negative Confident

Many companies never get beyond that first act ||| Neutral

Hi, David ||| Neutral

Thanks, Stacy ||| Neutral

As a result, we expect low teens growth for full-year 2017 sales ||| sales Positive Confident

We are also now expecting growth in client funds interest revenue to increase to about $20 million compared with our prior forecasted increase of about $15 million ||| sales Positive Confident

We do have corridors where there's both are that ||| Neutral

Sure ||| Neutral

So that's why you see that ramp up in Q4. ||| Neutral

Capital expenditures in Q1, excluding equity compensation and capitalized interest expense, were $94 million and at the midpoint of our guidance ||| op_costs Neutral

The fuel performance in the quarter also created the opportunity for us to make an incremental, a $111 million contribution into our USC consolidated pension plan ||| op_risks Positive Confident

Yes, Walter ||| Neutral

We have Mastercard Send and now, Fast ACH rails ||| Neutral

And what those numbers mean for the full year of 2016 is we saw net revenue growth of 13% and EPS growth of 11%, or 19% when normalized for taxes ||| sales Positive Confident

com business ||| Neutral

But we do expect some growth in the hyperscale data -- enterprise in general, including hyperscale data centers ||| sales Positive Confident

And I think starting off with the fact that we've increased our innovation spend from around $150 million to around $450 million, I think or somewhere thereabouts in that neighborhood, so it's a significant amount of increase in our R&D investment ||| organic_expansion Neutral Uncertain

And so PBMs themselves weren't mentioned specifically, and we did discuss channel partners broadly, but more as an educational point ||| products_services Positive Confident

The improvement in SG&A to sales ratios both on a reported and normalized basis is driven by the mix effect from the Jarden legacy businesses, which have historically carried a lower SG&A spend rate, as well as benefits from Project Renewal savings and transaction-related synergies, which more than offset the impact of incremental advertising and promotion investment in the quarter ||| op_costs Positive

We also understand exactly what is held by the wholesalers because of our contracts with them and the triangulation between how much has been sold from wholesalers to end users minus the demand leaves us with a number which we then extrapolate as being the end-user inventory ||| Neutral Confident

And then, for cloud ||| Neutral

And then of course, working against this is the headwind of shipping and fulfillment ||| Negative

Well and on the sensors, sensors actually  we all know that, thats running single-digit as we continue to invest ahead of the range that we have ahead of us that will begin in 2018. So we do think that, that will be a lever over time as those programs ramp, but we saw a significant investment in those programs ||| organic_expansion Neutral Uncertain

For the full year of 2017, we expect high-single-digit organic growth in auto on approximately 3% production growth, but clearly that 3% production growth was driven by the stronger production growth in the first half that we talked about in prior calls ||| products_services,organic_expansion Positive Confident

revenue from our Performance and Security Solutions was particularly strong, coming in at $369 million, growing 18% year-over-year and was the driver of delivering to the high end of our guidance in the quarter ||| sales Positive Confident

So our forecasting method has remained constant ||| op_costs Positive Confident

In Asia, we continue to see strong economic growth in India and several of the ASEAN countries ||| sales Positive Confident

And, Mark, maybe just to finish off the comment, I think, to your question, I think, we feel pretty good about our cost structure ||| op_costs Neutral Uncertain

Lastly, high-end equipment sales were down 15.9% or 13.9% in constant currency as the growth with the high end in color Aqueous Inkjet was not enough to offset mono declines ||| sales Negative

continued into the second quarter ||| Neutral

Yeah ||| Neutral

Our third opportunity fund, which is approximately $1.9 billion in total commitments, has already invested or has under contract 43 transactions involving the investment of over $850 million of that equity ||| Neutral

Excluding acquisition and integration charges, our guidance for EPS is to be between $3.15 and $3.35 per share in 2017. This represents 6% to 13% growth to full year 2016 or 10% at the midpoint of the guidance range and includes approximately a 1% headwind related to FX ||| sales,acquisitions Positive Confident

Geographically, Asia, driven by China, continue to lead regional growth ||| op_costs Positive Confident

Yes, Chris ||| Neutral

Overall, from a margin standpoint, the first comment I would make is we do not believe that 20% is the peak ||| earnings Negative Confident

Our Events business is on track to deliver double-digit growth in 2017 and Consulting delivered another quarter of growth following a very strong year-ago quarter ||| sales Positive Confident

We cant control that ||| Neutral

This increase in average spend reflects our ability to drive CV growth through both new and existing enterprises ||| sales Positive Confident

We anticipate Q2 earnings per diluted share in the range of $1.50 to $1.70. The midpoint of this guidance represents quarterly revenue and EPS growth of approximately 31% and 28% respectively year-over-year ||| sales,earnings Positive Confident

We normally see the seasonality going from Q4 to Q1 that sales go down ||| sales Neutral

I would not anticipate changing that guide ||| Neutral

For a small fee, typically between $5 and $10 depending on the address, guests can leave their basket with us at check out and arrange for delivery later the same day in a time window of their choosing ||| products_services Positive

Our IP group is growing well ||| Neutral

And as you know, when I came into this role, I felt we really needed to integrate the business, and we've been on a pretty aggressive path since then ||| earnings Positive Confident

Kyle, this is Gino ||| Neutral

So, that continues to be strong as well ||| Neutral

growth for anesthesia and critical care products, driven primarily by increased demand for Transderm Scop due to a temporary supply disruption in an alternate product during the quarter ||| products_services Positive Confident

So I think we feel good about where we are positioned today, and we're going to ensure that we continue to roll out products to strengthen that positioning over time ||| products_services Positive Uncertain

This year I think is going to be a critical year for us as we get back to stability and growth probably in the latter half of the year ||| sales Neutral Uncertain

That's up from 61% growth in Q2. Within QuickBooks Online, the QuickBooks Self-Employed subscribers doubled to 360,000, up from 180,000 last quarter and 75,000 just one year ago ||| sales Positive Confident

We were running hot in the first half of the year ||| Neutral

Kevin ||| Neutral

So North America while we live in every day as Americans, it is the minor part of production when you think about it globally ||| products_services Neutral Uncertain

As Gene mentioned, we're laying all the groundwork, so that we can accelerate growth in years beyond ||| sales Positive Confident

And Antonio is a deep technologist ||| Neutral

For the fourth quarter, growth in BD Medical in the U.S ||| earnings Positive Confident

And we have certainly done that over fiscal year 2016 and 2017. First and foremost is growth ||| Neutral

So really not much to comment there ||| Neutral

And again, the target that we've talked about, ranging up to $50 million, we're working very diligently to be in a place where we can harvest as much of that in 2018. That said, given when contracts run through or the timing of when we can reduce or eliminate certain costs may roll into 2018. So think of that more on a run rate basis or an annualized basis as opposed to all coming through in 2018. That said, we're going to do our best to harvest as much of that as possible in 2018. ||| op_costs Neutral Uncertain

And I just think we continue to demonstrate it and we feel very good about the program ramps will continue to allow us to have that type of separation even as global production stays at a low-single-digit to flat environment that we're in ||| products_services Neutral Uncertain

Third, we feel very good about our transition into warehouse and out of DSD, which is nearly complete ||| organic_expansion Positive Confident

But it was a reasonably meaningful contributor to growth in Q4, in particular, our Performance and Security portfolio ||| sales Neutral

I am sticking with it being about a point ||| Neutral

So those are really the key drivers of growth, both from a constant currency and a reported standpoint and then of course currency is helping us from a reported standpoint ||| sales Positive Confident

We augmented not only with third-party design houses but also our own people in our R&D centers in India ||| Neutral Confident

I think this is probably our best quarter ever ||| Neutral

Our Events business is on track to deliver double-digit growth in 2017, and the adjustments we are making in Consulting should position us strongly for the future ||| sales Positive Confident

As such, we expect CapEx spending to return to our long-term model range of 16% to 18% of revenue in 2017. And with the increasing CapEx, you will also see an uptick in depreciation levels throughout 2017. In closing, Akamai accomplished a great deal in 2016, and we remain confident in our ability to execute on our plans for the long term ||| sales,organic_expansion Positive Confident

This creates what we call the denominator effect ||| Neutral

Im pleased to say that both test launched successfully in mid-October in select stores in the Chicago and the Los Angeles markets ||| products_services Positive

Relative to our prior view 90 days ago, we are raising our organic growth expectations for 2017 by 100 basis points and raising the midpoint of our adjusted EPS guidance, with better operational performance more than offsetting the headwinds from the strengthening dollar that Heath highlighted ||| sales,organic_expansion,op_risks Positive Confident

I'm excited about the modem business ||| Neutral

And as you can imagine, now our average productivity per sales rep is down, but largely driven by ACA ||| sales,products_services Negative

We hope it will be at some point in the near future, but the international business, good, solid performance and really good margin performance as well where that business  10, 15 years ago, my predecessor, we struggled for years to really get that business to perform as well as the rest of ADP from a margin and "retention standpoint," and I think we're kind of there now ||| sales,earnings Neutral Uncertain

Exiting Q4, our Security business now has an annualized revenue run-rate of over $400 million ||| sales Neutral

So as that cost comes down, all of our businesses will benefit from lower costs ||| op_costs Negative

The Airwave-related FX impact diminishes in Q3 and Q4. And with respect to expenses, we continue to expect OpEx to be down year-over-year ||| op_costs Negative

Consulting gross contribution margin increased by 160 basis points year-on-year, primarily due to the strong performance of the contract optimization business ||| sales,earnings Positive Confident

And Jeff, it's Craig ||| Neutral

So first of all, I think the kilowatts of units sold was up by about  kilowatts of power sold was up by 60% and then valves in reference unit sales up by approximately 70% ||| sales Neutral Uncertain

revenue growth was again led by France with mixed results from other countries across the region ||| sales Positive Confident

The way I would answer that is strategically as we look at that business, there're three things that we think we continue have to execute on to ensure that we capitalize on the opportunity that we've talked about; the first is integration within the products ||| products_services Positive Uncertain

I spent time with a number of our customers there a few weeks ago, and I continue to be energized by the long-term prospects for this important end market and the incredible opportunities we have to continue to gain share ||| products_services Positive Confident

So the compares are a little bit closer ||| Neutral

Yeah ||| Neutral

We do have corridors, which is zero FX ||| Neutral

Thanks Meg ||| Neutral

I think if you look at how this cycle is tracking and we track that fairly closely in terms of what percentage of our total sales are with the new platform ||| sales Neutral Uncertain

revenue growth in the quarter includes approximately 1 percentage point of pressure from the fiscal 2017 disposition of our CHSA and COBRA businesses, which were substantially offset by the benefits from foreign currency ||| sales Positive Confident

That was  we were very proud of that at the time and we're proud to continue ||| earnings Positive Confident

We expect full year adjusted diluted earnings per share to be up between 1% and 2% in constant currency with EPS down in the first half reflecting lower sales and the phasing of our cost savings initiatives and brand investments ||| earnings Negative Confident

So it's 64-tier products on traditional NAND, the ramp-out of Fab 68, and then the real startup and continuation in getting the rest of the products qualified on 3D XPoint is what gets us  everything profitable next year ||| earnings,products_services Positive Confident

The other part of the story is around the rest of the region ||| Neutral

The Magic Quadrant ||| Neutral

Over the last couple of years we've positioned ourselves through ongoing investments in innovative capabilities and programs ||| earnings Positive Confident

But I would say we're pretty confident we will see product revenue growth in 2018. ||| sales,products_services Positive Confident

We are pleased with the continued strong growth and execution of our Cloud Security business, led by our flagship Kona Site Defender and Prolexic offerings and our continued portfolio expansion into new areas, like bot management and Enterprise Application Access ||| sales Positive Confident

As we think about the savings that we generate, we'll continue to look at all of the options that are in front of us, right? Returning some of that through improved profitability to shareholders, as well as investing in the long-term growth of the business ||| sales,earnings Neutral Uncertain

What happened for the quarter, when we originally talked about the quarter we thought it would be down 60 basis points in the same restaurant sales and down $0.035 in - or $0.03 Im sorry in EPS ||| earnings Negative Uncertain

The combination of the tremendous value we provide to our clients around the world, the investments we are making to capture our vast market opportunity, our focus on strong operational execution, and our exceptional business model saw us continue our trend of delivering double-digit growth with strong free cash flow conversion ||| sales,organic_expansion Positive Confident

Office 365 Commercial revenue increased by 47% or 49% in constant currency, driven by a combination of install base growth across all workloads and ARPU expansion ||| sales Positive Confident

Yes, Mark ||| Neutral

Data and devices had 6% organic growth as we continued to benefit from high-speed ramps in cloud infrastructure customers ||| sales,organic_expansion Positive Confident

So before the full year guidance and thinking through the segments, we expect transportation solutions to be up mid single-digits organically, on 2% auto production growth reflecting content growth trends and share gains ||| products_services,organic_expansion Neutral Uncertain

Within this solution category, we saw solid growth across all major product lines with particularly strong growth continuing in our Cloud Security Solutions ||| products_services Positive Confident

Executives from top brands, including the NBA, National Geographic, T-Mobile and Facebook will take the stage and well give an update on our strategic partnership with Microsoft ||| Neutral

I'd like to end with some notable highlights ||| Neutral

Oliver, on the inventory question, so we have gone through a period of 7, 8 years of inventory reduction, the total inventory is down over 40% over the last number of years ||| Neutral

Right ||| Neutral

Today is our first time reporting as a combined company following the closing of the P&G Beauty transaction October 1. Consistent with our comments on the last earnings call, Q2 was a challenging quarter ||| earnings Negative Confident

Moving down the income statement; SG&A increased by 18% year-over-year in the first quarter ||| op_costs Negative

But our vision doesnt end there ||| Neutral

This is Steve Schmitt, and I'm joined today by, Kary Brunner, Michael Brigance, Joey Smith, and Miguel Garcia from the IR team ||| Neutral

Looking at our products, I believe we currently have the strongest product portfolio and roadmap that I've seen in my tenure with the company ||| products_services Positive Confident

Sure ||| Neutral

Industrial Equipment, we grew 1% organically, driven by strengthening market around the factory automation area as well as growth in medical ||| sales,organic_expansion Positive Confident

So, I outlined the main areas of focus ||| Neutral

But I do think that once those businesses get to a level of scale, because they'll be kind of early-stage businesses, I think once they get to scale, I think that we will be able to get the company model back to the low 40s EBITDA ||| earnings Neutral Uncertain

The economies are growing better ||| organic_expansion Positive Confident

All right ||| Neutral

So at any point one time, we have multiple generations, multiple of our product generations being sold into the industry ||| products_services Neutral

And we also track that 3-day payoff rate which is good indicator of whether people like the offers they get from CarMax ||| Neutral

And you're going to see that being deployed across North America ||| organic_expansion Neutral Confident

An undertaking of this magnitude isn't easy ||| Neutral

As customers engage in both indoor and outdoor projects, we leveraged our omni-channel capabilities to help them throughout their project journey driving 27% comp growth on lowes ||| sales Positive

We're certainly going to see a step-up in head count investments ||| organic_expansion Neutral

Interest expense for the quarter was $160 million, which leveraged 8 basis points ||| debt Neutral

On travel retail, travel retail has been very strong ||| products_services Positive Confident

We are in the early process of looking through this right now because it is a very competitive process out there as people look to potentially partner with us, you know we look to make a decision as we digest and sort through all the different proposals that were seeing, that said very much likely to be a - if we go and how we do this exactly with the back half of 2017 event, but clearly there is a lot of demand, there is a lot of benefits for us moving towards asset light and we think as I mentioned you reduce risk and maintain strong economics for the business ||| op_risks Positive Uncertain

Power Initial Quality Study, Fort Wayne assembly received the 2017 Gold Plant Quality Award for the Americas for the highest manufacturing quality ||| Positive

Exactly, I mean that's ultimately the  growth in Employer Services and profitability Employer Services and growth in PEO ultimately would drive return on invested capital and that's really the right way to focus on the business ||| earnings,products_services Positive Confident

As we communicated during our fourth quarter call, we knew the first half of the year faced difficult earnings comparisons ||| earnings Negative Confident

No, you actually got it ||| Neutral

We continue to drive contract value growth through strong retention rates and consistent growth in new business ||| sales Positive Confident

So you talked about them, gaming, 2-in-1 devices, thin and light, the Ultrabook as we like to think about it from the old, those products are continuing to see growth actually, and they are pushing that record Core i5, Core i7. They're pushing the desire for Core i9, which is a new product we introduced ||| products_services Neutral Uncertain

That program has dramatically slowed down ||| Neutral

And I think we're well positioned ||| Neutral

Devices revenue declined 51% ||| sales Negative

In FY 2017, we drove tremendous execution, growth of scale and delivered unprecedented customer success ||| sales Positive Confident

But unfortunately, we can't ||| Neutral

So things seem to be breaking a lose right now ||| Neutral Confident

But I would say no there was no unusual item that rolled through there ||| Positive Confident

We believe their approach still limits the size of the sample, and we shared that ||| products_services Neutral Uncertain

We have four other concepts that I think we described them all very briefly, but nonetheless, described them at the Analyst Day in December, that we're developing ||| Neutral

Additionally, server revenue increased from a year ago, driven by the increased sales of EPYC products ||| sales,products_services Neutral

Moving to Events ||| Neutral

As you know, since Personal Systems has a negative cash conversion cycle, the timing of cash flow is impacted either positively or negatively depending on its sequential revenue performance ||| sales Positive Confident

In our sensors business, the acquisition last year of Jaquet drove 3% growth overall ||| sales,acquisitions Positive Confident

In March, Adobe Illustrator, the industry-standard vector graphics app that lets you create logos, typography, and complex illustrations for print, web, video, and mobile, celebrated its 30th anniversary ||| Neutral

Right now in the United States, our QBO LTV to CAC is 5.5. If you add in desktop it's 6.9, and if you actually do a worldwide blended number, it's 4.5. So we feel good that we have a proxy and know that we're driving towards good profitable growth ||| sales,earnings Positive Uncertain

First, revenues for the Research segment are expected to be $2.050 billion to $2.085 billion in 2017, FX neutral growth of 14% to 16% ||| sales Positive Confident

And so we're going to look at the targets that we have available, and we're going to pick the best modality that we can to address them, and that is in no way going to be limited to ADCs ||| Neutral Confident

I don't think you're going to see the catalyst ||| Neutral

I probably can't answer the second, I'll ask Kevin to take a shot at it, but the  in terms of the first, the numbers are accurate ||| Neutral

Operator, you now may open the line for questions ||| Neutral

Overall, quarterly revenue reached $1.94 billion, up 48% from the year earlier, down 11% sequentially and above our outlook of $1.9 billion ||| sales Negative

It won't be a big impact ||| Neutral

Let me try to frame the environment as we see it ||| Neutral Confident

Thank you, Ernie ||| Neutral

And fortunately, it's on track as of now ||| Neutral

Price will be favorable and costs will be favorable ||| earnings Positive Confident

So to Eds point, you lose the opportunity ||| Neutral

We saw year-over-year growth in Contrail, and added several new customers in Q1, including a tier 1 operator in Europe ||| sales Positive Confident

And we have said pretty consistently over the last three or four years that we expect op margin with seasonality to pull back in Q1 and Q2, because it's important for us to not slow the machine down on our investing and head count to try to overly  I'll use the term overly manage op margin ||| sales,earnings Negative

And that drives the content growth opportunity and the stickiness we have with our customers and our engineers basically create so much more opportunities ||| sales Positive Confident

Healthcare continues to be strong for us ||| Neutral

And our Group Disability and Life business delivered strong results, specifically in disability, where our clinical resources and productivity model continues to generate improved return-to-work results, which benefit our customers and our employer clients ||| products_services Positive Confident

Morning Foods' Q1 sales were affected by the category-wide consumption slowdowns in January and February, by trade inventory reductions coming out of Q4 and by the timing of our commercial plans ||| sales Negative Confident

And especially in EMEA, we had a good quarter ||| Neutral

Now to explain the detail of what happened ||| Neutral

It has been from the get go and so we are seeing strong store performance and strong online performance and many customers who have in both of those and are most loyal customers ||| sales Positive

The investment and asset management platform has continued to grow its asset base ||| sales Positive

Neither one of those would impact organic growth in the way we calculate it ||| sales,organic_expansion Positive Confident

I believe these new environments and consumption models for application services will create a meaningful opportunity for growth in our market ||| products_services Positive Confident

Non-cash interest expense related to our convertible debt was roughly $5 million ||| op_costs,debt Neutral

Thank you, Gene, and good morning, everyone ||| Neutral

We would say were on track; especially I view it as very strong Q1. Second, the credit normalization will conclude by the end of 2017 with a check as were definitely tracking to the wedge on Slide 11. Third, that we can retool the AIR MILES model to replace loss to EBITDA from the breakage reset ||| earnings Positive Confident

Services operating income was $136 million or 20.7% of sales, down from 25% last year ||| sales,products_services Negative

As I commented last quarter, our GAAP 2017 earnings per share is expected to be significantly impacted by acquisition and integration charges, of which the vast majority are non-cash in nature ||| earnings,acquisitions Negative

Go ahead ||| Neutral

But we continue to see really good growth opportunities for that business ||| sales Positive Confident

Operator, we're now ready to take questions ||| Neutral

Okay, so thank you for that last question, Bryan ||| Neutral

That's ultimately the strategy ||| Neutral

We saw additional purchases from a large U.S ||| Neutral

The other thing is, as we continue to make investments in R&D, we're going to capitalize more R&D, which is basically new product incubation ||| products_services,organic_expansion Positive Confident

We expect COGS of $8.2 billion to $8.3 billion ||| Neutral

com and marketing campaigns designed to drive awareness of the great values we provide for the Pro ||| Positive

Cognizant delivered solid third quarter results ||| Neutral

So, taking your first question Wendy, in terms of rollout of COVERGIRL, yes, there will be some inventory destocking in the coming quarter, preparing for the arrival of old and new products, the new packaging, the new visuals on the shelf ||| op_costs Negative Confident

I'll start with the question about Routing ||| Neutral

Operator, you may now open the line for questions ||| Neutral

Thank you very much ||| Neutral

revenue growth in our other four major product lines was double-digit; that excludes our All Other category ||| sales,products_services Positive Confident

As I commented last quarter, CEB has historically had different cash flow seasonality at Gartner, where CEB's strongest cash flow quarter has been Q1, followed by its weakest quarter in Q2. On a combined basis, operating cash flow increased by 1% in Q2. It is also important to note that our Q2 operating cash flow includes significant acquisition and integration payments, which we adjust out for our free cash flow calculation ||| acquisitions Positive Confident

During fiscal 2017, we increased our head count investments in our sales organization to better position us for growth during fiscal 2018 and beyond ||| sales,organic_expansion Positive Confident

It's pretty similar to what we're seeing in Q1. We'll get another good quarter out of China showing strong year-over-year growth ||| sales Positive Confident

You can expand it via other offerings ||| Neutral

The other driver of it was huge good things going on in China with limited service, particularly with our deal with Plateno, a ton of new Hamptons that went under construction in the first quarter and we're going to have a ton more coming, but my sense is, it will stabilize out that the Tru and the Hampton in China help supercharge the first quarter a bit ||| products_services Positive Confident

It depends on who won ||| Neutral

This business continues to make significant progress with year-over-year growth in revenue, operating profit and market share ||| sales,earnings Positive Confident

Attrition are in line with historical levels ||| Neutral

In closing, we are very pleased with the trend of our quarterly results and how our products are positioned heading into the back half of the year ||| products_services Positive Confident

Personal Systems revenue grew 10% year-over-year with operating profit improvement ||| sales,earnings Positive Confident

About 34% of our gross profit converts to free cash flow, which is a function of attractive profit margins and capital efficiency for our business ||| Positive

Global Human Health delivered another solid quarter ||| Neutral Confident

We're in the marketplace, looking at what anything happens in the market on either pricing, in which case we may have some opportunity, or on volume growth and share growth, which we continue to pursue and we're continuing to win some deals in Europe ||| sales Positive Confident

And so back to my comment on the incentives that we are driving for consumers, we feel like that starting  as well as some of the services that we are providing that starting to make nice impact ||| Positive

approval for two new products that will extend our leadership position in the field ||| products_services Positive Confident

Sure, Michael ||| Neutral

When you think about, you are right, it is a big number, and I feel very good about it, and for the year on a pure basis it was $15 billion of commercial cloud revenue ||| sales Neutral Uncertain

As it relates to the spike on the seasonal, of course, it's very hard to predict and isolate because of the flu season, it's sort of a moving target, if you will ||| Neutral Confident

Growth in the Life Sciences segment of 4.4% was driven by performance in Diagnostic Systems and Biosciences ||| products_services Positive Confident

This, combined with our leadership in specialty, differentiates us and will enable strong top line revenue growth ||| op_costs Positive Confident

I'm not sure conservatism is the word I'd use on this, because I think we've been talking with the sales organization, evaluating the pipeline, looking at the business ||| sales Neutral Uncertain

Sure, thank you ||| Neutral

No, we had predicted what we have in terms of resort fees in that number and in our prior guidance ||| Neutral

I think there are a few questions in there ||| Neutral

But that's why we are being so aggressive in autonomous, so aggressive in electrification ||| Positive Confident

Working our way down the income statement, gross margin of 55% was down 20 basis points from Q1 2016 and at the top of our guidance range of 50% to 55% ||| sales,earnings Negative

Snacks is no longer in DSD ||| products_services Neutral Confident

As we end the second quarter in China, we'll begin to implement the Margin for Growth Program we discussed earlier this year ||| op_costs Positive Confident

And then on the next slide, we just tried to capture everything that we've been looking at and everything we've been reading about in terms of concerns and trends around the financing industry ||| Neutral

Although, we continued to see good domestic growth from westernunion ||| sales Positive Confident

Amy is a CPA, who has been at Humana for nearly 14 years, serving most of that time in progressively expanding leadership roles on the Financial Reporting team, driving SEC reporting and development of external messaging on key financial measurements for our earnings releases ||| earnings Positive Confident

And, Tim, it's Craig ||| Neutral

Importantly, we expect our company operating margin to only decline by about a point as we continue to grow our cloud revenue, we fund new investment to support growth in strategic areas and absorb $1.5 billion of LinkedIn amortization in COGS and OpEx ||| sales,earnings,acquisitions Negative

That's in our base as well ||| Neutral

Also, please note that the recurring revenue mix was approximately 90%; DSOs were 31 days, down six days from Q1 on strong collections ||| sales Positive Confident

So those efficiencies mostly offset the investments in the core business also price related design, which actually brings revenue with that, and also regulatory cost ||| Neutral

On a combined basis, adjusted Research revenue grew 13% in the third quarter ||| sales Positive Confident

